Sample	Total_Reads_1	Total_Reads_2	Not_Truncated_Reads_1	Not_Truncated_Reads_2	Truncated_Read_1	Truncated_Read_2	Average_Length_Truncated_1	Average_Length_Truncated_2	Too_Short_To_Map_Read_1	Too_Short_To_Map_Read_2	Unique_Alignments_Read_1	Unique_Alignments_Read_2	Multiple_Alignments_Read_1	Multiple_Alignments_Read_2	Failed_To_Align_Read_1	Failed_To_Align_Read_2	Paired_Read_1	Paired_Read_2	Valid_Pairs	Invalid_Pairs	Same_Circularised	Same_Dangling_Ends	Same_Fragment_Internal	Re_Ligation	Contiguous_Sequence	Wrong_Size	Deduplication_Read_Pairs_Uniques	Deduplication_Cis_Close_Uniques	Deduplication_Cis_Far_Uniques	Deduplication_Trans_Uniques	Percentage_Mapped	Percentage_Valid	Percentage_Uniques	Percentage_Unique_Trans	Percentage_Ditags_Passed_Through_HiCUP	Duplicate_Read_Pairs
a40507_L004	230136422.0	230136422.0	125428366.0	126518550.0	104708056.0	103617872.0	75.57	75.93	5967234.0	5747649.0	175886590.0	173665339.0	33735463.0	35133404.0	14547135.0	15590030.0	139907081.0	139907081.0	115103658.0	24803423.0	1284450.0	8084443.0	11825198.0	3609332.0	0.0	0.0	98060297.0	1600050.0	36008378.0	60451869.0	60.79	82.27	85.19	61.65	42.61	17043361.0
a51852_L001	306541467.0	306541467.0	131069692.0	132791384.0	175471775.0	173750083.0	74.97	75.35	10280100.0	9898995.0	244243960.0	241607661.0	43738437.0	45175631.0	8278970.0	9859180.0	197003122.0	197003122.0	185240071.0	11763051.0	747576.0	3087392.0	5806624.0	2121459.0	0.0	0.0	160377260.0	2079118.0	52184014.0	106114128.0	64.27	94.03	86.58	66.17	52.32	24862811.0
a51852_L002	304985916.0	304985916.0	130961602.0	132812702.0	174024314.0	172173214.0	75.0	75.37	10187827.0	9808204.0	243097074.0	240086205.0	43509642.0	45147775.0	8191373.0	9943732.0	195829794.0	195829794.0	184192172.0	11637622.0	731128.0	3052228.0	5739066.0	2115200.0	0.0	0.0	159264447.0	2062990.0	51700721.0	105500736.0	64.21	94.06	86.47	66.24	52.22	24927725.0
a51852_L003	297383540.0	297383540.0	127948560.0	129834876.0	169434980.0	167548664.0	75.0	75.35	9929716.0	9545184.0	236450964.0	233371576.0	42616932.0	44144399.0	8385928.0	10322381.0	190015456.0	190015456.0	178631211.0	11384245.0	712683.0	2983955.0	5618576.0	2069031.0	0.0	0.0	154607879.0	2003559.0	50285460.0	102318860.0	63.9	94.01	86.55	66.18	51.99	24023332.0
a51852_L004	301747082.0	301747082.0	131534434.0	129857468.0	170212648.0	171889614.0	75.38	75.0	10077579.0	9692210.0	239670018.0	236870560.0	43335129.0	44835476.0	8664356.0	10348836.0	192672588.0	192672588.0	181081373.0	11591215.0	728285.0	3029004.0	5723229.0	2110697.0	0.0	0.0	156704591.0	2034192.0	50940575.0	103729824.0	63.85	93.98	86.54	66.19	51.93	24376782.0
a53687_L001	209168623.0	209168623.0	114909287.0	115715739.0	94259336.0	93452884.0	76.35	76.73	5288484.0	5115181.0	165569219.0	164333933.0	27917176.0	28844640.0	10393744.0	10874869.0	135873119.0	135873119.0	112310652.0	23562467.0	878956.0	6794729.0	12480806.0	3407976.0	0.0	0.0	98443925.0	2387828.0	39824630.0	56231467.0	64.96	82.66	87.65	57.12	47.06	13866727.0
a53687_L002	209370921.0	209370921.0	115361681.0	116214879.0	94009240.0	93156042.0	76.37	76.74	5276910.0	5100888.0	165781795.0	164305462.0	27963374.0	29030117.0	10348842.0	10934454.0	135866005.0	135866005.0	112400376.0	23465629.0	860856.0	6775057.0	12409869.0	3419847.0	0.0	0.0	98325486.0	2383727.0	39700681.0	56241078.0	64.89	82.73	87.48	57.2	46.96	14074890.0
a53687_L003	203575824.0	203575824.0	112337701.0	113185403.0	91238123.0	90390421.0	76.38	76.72	5122784.0	4948660.0	160802742.0	159370784.0	27312933.0	28294439.0	10337365.0	10961941.0	131573082.0	131573082.0	108664467.0	22908615.0	840874.0	6608263.0	12133959.0	3325519.0	0.0	0.0	95124037.0	2307592.0	38476091.0	54340354.0	64.63	82.59	87.54	57.13	46.73	13540430.0
a53687_L004	206608650.0	206608650.0	113994639.0	114769380.0	92614011.0	91839270.0	76.37	76.74	5203747.0	5026418.0	163041942.0	161746464.0	27788778.0	28750259.0	10574183.0	11085509.0	133423907.0	133423907.0	110202748.0	23221159.0	856436.0	6695302.0	12290045.0	3379376.0	0.0	0.0	96486212.0	2340808.0	39005473.0	55139931.0	64.58	82.6	87.55	57.15	46.7	13716536.0
a56413_L001	204660098.0	204660098.0	87087785.0	88081444.0	117572313.0	116578654.0	76.3	76.63	6655210.0	6429999.0	165773572.0	164492042.0	29101015.0	29938515.0	3130301.0	3799542.0	136086287.0	136086287.0	134331815.0	1754472.0	159349.0	419421.0	663090.0	512612.0	0.0	0.0	115034290.0	2679049.0	50799214.0	61556027.0	66.49	98.71	85.63	53.51	56.21	19297525.0
a56413_L002	203601984.0	203601984.0	87112453.0	88173828.0	116489531.0	115428156.0	76.33	76.64	6585223.0	6368828.0	164977770.0	163483962.0	28937076.0	29871888.0	3101915.0	3877306.0	135310917.0	135310917.0	133564203.0	1746714.0	157476.0	414718.0	661017.0	513503.0	0.0	0.0	114229078.0	2655365.0	50384775.0	61188938.0	66.46	98.71	85.52	53.57	56.1	19335125.0
a56413_L003	199074065.0	199074065.0	85277419.0	86336732.0	113796646.0	112737333.0	76.33	76.62	6441201.0	6223962.0	160910430.0	159396195.0	28431765.0	29313958.0	3290669.0	4139950.0	131678353.0	131678353.0	129965672.0	1712681.0	153077.0	405627.0	648960.0	505017.0	0.0	0.0	111185008.0	2591299.0	49125946.0	59467763.0	66.15	98.7	85.55	53.49	55.85	18780664.0
a56413_L004	201755044.0	201755044.0	86461375.0	87399124.0	115293669.0	114355920.0	76.32	76.65	6532388.0	6311638.0	162912802.0	161577284.0	28880012.0	29737915.0	3429842.0	4128207.0	133343903.0	133343903.0	131567315.0	1776588.0	156523.0	417785.0	676359.0	525921.0	0.0	0.0	112564892.0	2618676.0	49700243.0	60245973.0	66.09	98.67	85.56	53.52	55.79	19002423.0
a57294_L001	242401704.0	242401704.0	101639639.0	103079227.0	140762065.0	139322477.0	76.29	76.64	7895846.0	7620309.0	196175855.0	194588326.0	34044323.0	35000050.0	4285680.0	5193019.0	160517601.0	160517601.0	158199297.0	2318304.0	297509.0	484954.0	938083.0	597758.0	0.0	0.0	134191419.0	2178176.0	55337948.0	76675295.0	66.22	98.56	84.82	57.14	55.36	24007878.0
a57294_L002	242230536.0	242230536.0	102146888.0	103742611.0	140083648.0	138487925.0	76.3	76.66	7865579.0	7565202.0	196108226.0	194247213.0	33988243.0	35101740.0	4268488.0	5316381.0	160301822.0	160301822.0	157983043.0	2318779.0	294774.0	486663.0	936489.0	600853.0	0.0	0.0	133707603.0	2166816.0	55052545.0	76488242.0	66.18	98.55	84.63	57.21	55.2	24275440.0
a57294_L003	238148586.0	238148586.0	100578289.0	102231885.0	137570297.0	135916701.0	76.31	76.64	7718698.0	7431067.0	192365173.0	190403994.0	33565864.0	34607207.0	4498851.0	5706318.0	156860038.0	156860038.0	154578691.0	2281347.0	289841.0	473966.0	921595.0	595945.0	0.0	0.0	130762031.0	2118162.0	53909205.0	74734664.0	65.87	98.55	84.59	57.15	54.91	23816660.0
a57294_L004	240039388.0	240039388.0	101361433.0	102842402.0	138677955.0	137196986.0	76.31	76.67	7786258.0	7490724.0	193678182.0	191962872.0	33926459.0	34947513.0	4648489.0	5638279.0	157969860.0	157969860.0	155625779.0	2344081.0	291392.0	484658.0	954043.0	613988.0	0.0	0.0	131793748.0	2136434.0	54320976.0	75336338.0	65.81	98.52	84.69	57.16	54.91	23832031.0
a58215_L001	197101435.0	197101435.0	86071493.0	87282032.0	111029942.0	109819403.0	75.66	76.0	6494897.0	6259484.0	159107795.0	157569965.0	28017956.0	28888684.0	3480787.0	4383302.0	130000822.0	130000822.0	127671141.0	2329681.0	162762.0	582568.0	999152.0	585199.0	0.0	0.0	111035392.0	2715893.0	49060483.0	59259016.0	65.96	98.21	86.97	53.37	56.33	16635749.0
a58215_L002	197578594.0	197578594.0	86751919.0	88078192.0	110826675.0	109500402.0	75.68	76.02	6482844.0	6241592.0	159562002.0	157774363.0	28061005.0	29066154.0	3472743.0	4496485.0	130231477.0	130231477.0	127900877.0	2330600.0	161213.0	581439.0	997119.0	590829.0	0.0	0.0	110980366.0	2710232.0	48947364.0	59322770.0	65.91	98.21	86.77	53.45	56.17	16920511.0
a58215_L003	193156913.0	193156913.0	84899188.0	86284073.0	108257725.0	106872840.0	75.68	75.99	6335093.0	6097746.0	155588299.0	153724264.0	27569956.0	28507693.0	3663565.0	4827210.0	126657242.0	126657242.0	124364401.0	2292841.0	157705.0	570698.0	982797.0	581641.0	0.0	0.0	107939448.0	2643047.0	47703743.0	57592658.0	65.57	98.19	86.79	53.36	55.88	16424953.0
a58215_L004	195158636.0	195158636.0	85795122.0	87020280.0	109363514.0	108138356.0	75.68	76.02	6401727.0	6162010.0	157043378.0	155388044.0	27925196.0	28833888.0	3788335.0	4774694.0	127891642.0	127891642.0	125545700.0	2345942.0	159881.0	580186.0	1006508.0	599367.0	0.0	0.0	109030187.0	2670122.0	48150933.0	58209132.0	65.53	98.17	86.85	53.39	55.87	16515513.0
