SampleID	w	BPscore	window_step_abs_delta
Benign-Prostate-3330581	10	0.0825813190455147	0.007518897564060337
PCa13266	11	0.09330929697313843	0.003824716706045825
PCa13848	11	0.08902325033059369	0.0007820644988084241
PCa14121	11	0.09469175005336342	0.007410677248396266
PCa19121	11	0.0964526793026666	0.00026672922912145125
PCa3023	11	0.09221562794456617	0.0012898596992385186
PCa33173	11	0.08460152700346354	0.0029135001611806377
PCa40507	11	0.10161505447930956	0.0016310567164545264
PCa51852	11	0.10320617824709775	0.00457938887328721
PCa53687	11	0.09310848659048086	0.0027072309140207806
PCa56413	11	0.08846566072299736	0.006003213183181796
PCa57294	11	0.10065187172732763	0.0011418356324787854
PCa58215	11	0.08494366328128566	0.005849918123281797
Benign-Prostate-1595983	11	0.08611613973195532	0.004024793712511368
Benign-Prostate-1648133	11	0.08858993593645828	0.00936275050564446
Benign-Prostate-1664855	11	0.08304098087453722	0.006050389383939356
Benign-Prostate-3320942	11	0.0884964074459579	0.001205122319234711
Benign-Prostate-3330581	11	0.07873823379282932	0.0038430852526853826
PCa13266	12	0.08422127581245833	0.009088021160680096
PCa13848	12	0.07155929670431059	0.0174639536262831
PCa14121	12	0.09056758699517004	0.004124163058193381
PCa19121	12	0.07746088349223157	0.01899179581043503
PCa3023	12	0.08215724709431635	0.01005838085024982
PCa33173	12	0.07581850023821804	0.008783026765245505
PCa40507	12	0.0967687919719145	0.0048462625073950605
PCa51852	12	0.0988923022594713	0.004313875987626448
PCa53687	12	0.0838744423580325	0.009234044232448363
PCa56413	12	0.08382102330164641	0.004644637421350947
PCa57294	12	0.08993951099572497	0.010712360731602658
PCa58215	12	0.08175255413513843	0.0031911091461472307
Benign-Prostate-1595983	12	0.07375166290476674	0.01236447682718858
Benign-Prostate-1648133	12	0.08217431075234055	0.006415625184117729
Benign-Prostate-1664855	12	0.07580003773348114	0.007240943141056083
Benign-Prostate-3320942	12	0.08260282163004742	0.005893585815910471
Benign-Prostate-3330581	12	0.07123934964330834	0.007498884149520976
PCa13266	13	0.08094070419795672	0.0032805716145016123
PCa13848	13	0.07338021289648973	0.0018209161921791395
PCa14121	13	0.08595131327299296	0.004616273722177072
PCa19121	13	0.08269667908399131	0.00523579559175974
PCa3023	13	0.076254901252482	0.0059023458418343555
PCa33173	13	0.07419172782387518	0.0016267724143428641
PCa40507	13	0.09309198904489774	0.003676802927016762
PCa51852	13	0.08562130683855973	0.013270995420911577
PCa53687	13	0.08118137033125487	0.0026930720267776265
PCa56413	13	0.07409183560996888	0.009729187691677535
PCa57294	13	0.08172892032096013	0.008210590674764845
PCa58215	13	0.07527016897445632	0.006482385160682114
Benign-Prostate-1595983	13	0.07228076484391104	0.0014708980608557076
Benign-Prostate-1648133	13	0.07806604602706455	0.004108264725276006
Benign-Prostate-1664855	13	0.06887347244505647	0.006926565288424669
Benign-Prostate-3320942	13	0.07892240391438284	0.0036804177156645884
Benign-Prostate-3330581	13	0.07238094824856794	0.0011415986052596
PCa13266	14	0.07935103001655644	0.001589674181400283
PCa13848	14	0.06586249765909015	0.00751771523739958
PCa14121	14	0.08773757811641203	0.0017862648434190664
PCa19121	14	0.07908252803418227	0.0036141510498090418
PCa3023	14	0.07616193059002005	9.297066246194419e-05
PCa33173	14	0.06870424618021732	0.005487481643657852
PCa40507	14	0.08300380740729721	0.01008818163760053
PCa51852	14	0.08800786603903826	0.002386559200478533
PCa53687	14	0.07749231219593129	0.0036890581353235807
PCa56413	14	0.068086563530855	0.006005272079113874
PCa57294	14	0.08413996229935614	0.0024110419783960058
PCa58215	14	0.07363294082870621	0.0016372281457501109
Benign-Prostate-1595983	14	0.06426761669448872	0.00801314814942232
Benign-Prostate-1648133	14	0.07095599711411087	0.007110048912953679
Benign-Prostate-1664855	14	0.06590733820425723	0.002966134240799237
Benign-Prostate-3320942	14	0.07198830264510427	0.00693410126927857
Benign-Prostate-3330581	14	0.0684795400586487	0.003901408189919242
PCa13266	15	0.07929935591781659	5.167409873985118e-05
PCa13848	15	0.06701640479672115	0.0011539071376309995
PCa14121	15	0.07917717829611837	0.008560399820293663
PCa19121	15	0.07558069453265873	0.0035018335015235408
PCa3023	15	0.06579705302444562	0.010364877565574429
PCa33173	15	0.06678164501734185	0.001922601162875473
