w	s1	s2	BPscore
3	PCa53687	PCa14121	0.343778142710202
3	PCa14121	PCa56413	0.3303848854315468
3	PCa56413	PCa14121	0.3303848854315468
3	PCa14121	PCa57294	0.3370117694302266
3	PCa57294	PCa14121	0.3370117694302266
3	PCa14121	PCa58215	0.3281838723220818
3	PCa58215	PCa14121	0.3281838723220818
3	PCa14121	Benign-Prostate-1648133	0.3423068949598201
3	Benign-Prostate-1648133	PCa14121	0.3423068949598201
3	PCa14121	Benign-Prostate-1595983	0.33878943761391855
3	Benign-Prostate-1595983	PCa14121	0.33878943761391855
3	PCa14121	Benign-Prostate-1664855	0.3431227592227202
3	Benign-Prostate-1664855	PCa14121	0.3431227592227202
3	PCa14121	Benign-Prostate-3320942	0.3429316565348984
3	Benign-Prostate-3320942	PCa14121	0.3429316565348984
3	PCa14121	Benign-Prostate-3330581	0.34079236414039366
3	Benign-Prostate-3330581	PCa14121	0.34079236414039366
3	PCa19121	PCa3023	0.29165829572380453
3	PCa3023	PCa19121	0.29165829572380453
3	PCa19121	PCa33173	0.298983618510406
3	PCa33173	PCa19121	0.298983618510406
3	PCa19121	PCa40507	0.325861017493576
3	PCa40507	PCa19121	0.325861017493576
3	PCa19121	PCa51852	0.3359593773875455
3	PCa51852	PCa19121	0.3359593773875455
3	PCa19121	PCa53687	0.324788381981976
3	PCa53687	PCa19121	0.324788381981976
3	PCa19121	PCa56413	0.30320139285303555
3	PCa56413	PCa19121	0.30320139285303555
3	PCa19121	PCa57294	0.3201481770547285
3	PCa57294	PCa19121	0.3201481770547285
3	PCa19121	PCa58215	0.3017708745749846
3	PCa58215	PCa19121	0.3017708745749846
3	PCa19121	Benign-Prostate-1648133	0.31135157835539656
3	Benign-Prostate-1648133	PCa19121	0.31135157835539656
3	PCa19121	Benign-Prostate-1595983	0.30673308886873346
3	Benign-Prostate-1595983	PCa19121	0.30673308886873346
3	PCa19121	Benign-Prostate-1664855	0.31173008634384586
3	Benign-Prostate-1664855	PCa19121	0.31173008634384586
3	PCa19121	Benign-Prostate-3320942	0.31529713761889566
3	Benign-Prostate-3320942	PCa19121	0.31529713761889566
3	PCa19121	Benign-Prostate-3330581	0.30856982001578087
3	Benign-Prostate-3330581	PCa19121	0.30856982001578087
3	PCa3023	PCa33173	0.28430676225744456
3	PCa33173	PCa3023	0.28430676225744456
3	PCa3023	PCa40507	0.31680305451564483
3	PCa40507	PCa3023	0.31680305451564483
3	PCa3023	PCa51852	0.3436826829896566
3	PCa51852	PCa3023	0.3436826829896566
3	PCa3023	PCa53687	0.32345095603961066
3	PCa53687	PCa3023	0.32345095603961066
3	PCa3023	PCa56413	0.2814759333518894
3	PCa56413	PCa3023	0.2814759333518894
3	PCa3023	PCa57294	0.3230165045915532
3	PCa57294	PCa3023	0.3230165045915532
3	PCa3023	PCa58215	0.28954840197389387
3	PCa58215	PCa3023	0.28954840197389387
3	PCa3023	Benign-Prostate-1648133	0.29289388684334317
3	Benign-Prostate-1648133	PCa3023	0.29289388684334317
3	PCa3023	Benign-Prostate-1595983	0.2873385528017971
3	Benign-Prostate-1595983	PCa3023	0.2873385528017971
3	PCa3023	Benign-Prostate-1664855	0.2935342599054018
3	Benign-Prostate-1664855	PCa3023	0.2935342599054018
3	PCa3023	Benign-Prostate-3320942	0.2882028203658021
3	Benign-Prostate-3320942	PCa3023	0.2882028203658021
3	PCa3023	Benign-Prostate-3330581	0.2946004505355682
3	Benign-Prostate-3330581	PCa3023	0.2946004505355682
3	PCa33173	PCa40507	0.3147360273488226
3	PCa40507	PCa33173	0.3147360273488226
3	PCa33173	PCa51852	0.33421025348961225
3	PCa51852	PCa33173	0.33421025348961225
3	PCa33173	PCa53687	0.3165962141031981
3	PCa53687	PCa33173	0.3165962141031981
3	PCa33173	PCa56413	0.2913169973156902
3	PCa56413	PCa33173	0.2913169973156902
3	PCa33173	PCa57294	0.31416207994754936
3	PCa57294	PCa33173	0.31416207994754936
3	PCa33173	PCa58215	0.28068520225123506
3	PCa58215	PCa33173	0.28068520225123506
3	PCa33173	Benign-Prostate-1648133	0.2932266389906014
3	Benign-Prostate-1648133	PCa33173	0.2932266389906014
3	PCa33173	Benign-Prostate-1595983	0.2839613572921205
3	Benign-Prostate-1595983	PCa33173	0.2839613572921205
