w	s1	s2	dist
3	PCa19121	PCa33173	0.2610846985897398
3	PCa33173	PCa19121	0.2610846985897398
3	PCa19121	PCa40507	0.29828612572294255
3	PCa40507	PCa19121	0.29828612572294255
3	PCa19121	PCa51852	0.2849680045153999
3	PCa51852	PCa19121	0.2849680045153999
3	PCa19121	PCa53687	0.30206446443888935
3	PCa53687	PCa19121	0.30206446443888935
3	PCa19121	PCa56413	0.2810882543570312
3	PCa56413	PCa19121	0.2810882543570312
3	PCa19121	PCa57054	0.26949173610888094
3	PCa57054	PCa19121	0.26949173610888094
3	PCa19121	PCa57294	0.28164943724130764
3	PCa57294	PCa19121	0.28164943724130764
3	PCa19121	PCa58215	0.2710885778548177
3	PCa58215	PCa19121	0.2710885778548177
3	PCa3023	PCa33173	0.2467933211701771
3	PCa33173	PCa3023	0.2467933211701771
3	PCa3023	PCa40507	0.2885621841790109
3	PCa40507	PCa3023	0.2885621841790109
3	PCa3023	PCa51852	0.2887150367317402
3	PCa51852	PCa3023	0.2887150367317402
3	PCa3023	PCa53687	0.2925659010107616
3	PCa53687	PCa3023	0.2925659010107616
3	PCa3023	PCa56413	0.2530187704088863
3	PCa56413	PCa3023	0.2530187704088863
3	PCa3023	PCa57054	0.26117170953446867
3	PCa57054	PCa3023	0.26117170953446867
3	PCa3023	PCa57294	0.2833793602555263
3	PCa57294	PCa3023	0.2833793602555263
3	PCa3023	PCa58215	0.25633490100223166
3	PCa58215	PCa3023	0.25633490100223166
3	PCa33173	PCa40507	0.28364527312719046
3	PCa40507	PCa33173	0.28364527312719046
3	PCa33173	PCa51852	0.2778965548574814
3	PCa51852	PCa33173	0.2778965548574814
3	PCa33173	PCa53687	0.2870511441938269
3	PCa53687	PCa33173	0.2870511441938269
3	PCa33173	PCa56413	0.2601085985908128
3	PCa56413	PCa33173	0.2601085985908128
3	PCa33173	PCa57054	0.2496850352202284
3	PCa57054	PCa33173	0.2496850352202284
3	PCa33173	PCa57294	0.26973219363592776
3	PCa57294	PCa33173	0.26973219363592776
3	PCa33173	PCa58215	0.24899138295743622
3	PCa58215	PCa33173	0.24899138295743622
3	PCa40507	PCa51852	0.2997993157248554
3	PCa51852	PCa40507	0.2997993157248554
3	PCa40507	PCa53687	0.31896554784308967
3	PCa53687	PCa40507	0.31896554784308967
3	PCa40507	PCa56413	0.2893815807481927
3	PCa56413	PCa40507	0.2893815807481927
3	PCa40507	PCa57054	0.2856179172317182
3	PCa57054	PCa40507	0.2856179172317182
3	PCa40507	PCa57294	0.30156598847523663
3	PCa57294	PCa40507	0.30156598847523663
3	PCa40507	PCa58215	0.2904795055249684
3	PCa58215	PCa40507	0.2904795055249684
3	PCa51852	PCa53687	0.3083215915891386
3	PCa53687	PCa51852	0.3083215915891386
3	PCa51852	PCa56413	0.29246165380412836
3	PCa56413	PCa51852	0.29246165380412836
3	PCa51852	PCa57054	0.2813925272592457
3	PCa57054	PCa51852	0.2813925272592457
3	PCa51852	PCa57294	0.29654163357140556
3	PCa57294	PCa51852	0.29654163357140556
3	PCa51852	PCa58215	0.28753550824179974
3	PCa58215	PCa51852	0.28753550824179974
3	PCa53687	PCa56413	0.29923188744622387
3	PCa56413	PCa53687	0.29923188744622387
