N_Samples	Iteration	N_Loops
15	17	15208
16	17	15972
17	17	16474
1	18	1426
2	18	3946
3	18	4403
4	18	6654
5	18	8047
6	18	9103
7	18	9758
8	18	11039
9	18	12162
10	18	12822
11	18	13203
12	18	13657
13	18	13735
14	18	13996
15	18	14655
16	18	16073
17	18	16474
1	19	1426
2	19	4031
3	19	4899
4	19	8606
5	19	8725
6	19	9648
7	19	10570
8	19	10761
9	19	11914
10	19	12418
11	19	12876
12	19	13607
13	19	14195
14	19	14992
15	19	15643
16	19	16173
17	19	16474
1	20	4601
2	20	6503
3	20	7018
4	20	8275
5	20	8915
6	20	10296
7	20	11425
8	20	12219
9	20	12692
10	20	12866
11	20	14459
12	20	14860
13	20	15295
14	20	15368
15	20	16005
16	20	16403
17	20	16474
1	21	4416
2	21	6120
3	21	8098
4	21	8649
5	21	9774
6	21	9897
7	21	10800
8	21	12690
9	21	13572
10	21	13995
11	21	14453
12	21	15094
13	21	15175
14	21	15720
15	21	15867
16	21	16249
17	21	16474
1	22	3579
2	22	3946
3	22	6895
4	22	7776
5	22	7904
6	22	8134
7	22	10592
8	22	11388
9	22	12239
10	22	13032
11	22	13555
12	22	13907
13	22	14171
14	22	14975
15	22	15365
16	22	15910
17	22	16474
1	23	7040
2	23	7170
3	23	8160
4	23	9681
5	23	9919
6	23	10426
7	23	11045
8	23	11857
9	23	12635
10	23	13174
11	23	13444
12	23	13529
13	23	14375
14	23	14781
15	23	15437
16	23	15972
17	23	16474
1	24	1292
2	24	4235
3	24	6300
4	24	7713
5	24	9328
6	24	9543
7	24	10573
8	24	11226
9	24	11323
10	24	11875
11	24	13595
12	24	14001
13	24	14577
14	24	15373
15	24	15677
16	24	16249
17	24	16474
1	25	3579
2	25	6713
3	25	7498
4	25	8690
5	25	9389
6	25	10040
7	25	10155
8	25	10850
9	25	11736
10	25	12450
11	25	13079
12	25	13963
13	25	14121
14	25	14199
15	25	14845
16	25	15083
17	25	16474
1	26	5754
2	26	7028
3	26	7829
4	26	8942
5	26	9621
6	26	10489
7	26	12378
8	26	12464
9	26	13241
10	26	13695
11	26	13957
12	26	14034
13	26	14611
14	26	14761
15	26	15106
16	26	15880
17	26	16474
1	27	3663
2	27	5499
3	27	6089
4	27	7515
5	27	8735
6	27	9593
7	27	10873
8	27	11727
9	27	11824
10	27	12239
11	27	12322
12	27	13963
13	27	14782
14	27	15182
15	27	15823
16	27	16330
17	27	16474
1	28	7040
2	28	8321
3	28	9525
4	28	9653
5	28	10695
6	28	11265
7	28	12296
8	28	12388
9	28	12566
10	28	13480
11	28	14133
12	28	14530
13	28	14987
14	28	15304
15	28	15719
16	28	15951
17	28	16474
1	29	3663
2	29	5206
3	29	6758
4	29	7704
5	29	8124
6	29	9195
7	29	10527
8	29	11663
9	29	12490
10	29	12870
11	29	13567
12	29	13650
13	29	13813
14	29	14473
15	29	14546
16	29	15083
17	29	16474
1	30	3663
2	30	5972
3	30	8150
4	30	8271
5	30	8516
6	30	9130
7	30	10123
8	30	10483
9	30	11437
10	30	12462
11	30	12975
12	30	13562
13	30	13981
14	30	15495
15	30	15570
16	30	16102
17	30	16474
1	31	3579
2	31	5206
3	31	7701
4	31	8887
5	31	9800
6	31	10395
7	31	11277
8	31	12297
9	31	12383
10	31	14035
11	31	14731
12	31	15293
13	31	15722
14	31	16028
15	31	16103
16	31	16330
17	31	16474
1	32	3977
2	32	5382
3	32	5976
4	32	7284
5	32	10010
6	32	11206
7	32	11402
8	32	12102
9	32	12505
10	32	13410
11	32	14066
12	32	14147
13	32	14803
14	32	15236
15	32	15313
16	32	15855
17	32	16474
1	33	1426
2	33	4031
3	33	5430
4	33	7338
5	33	8522
6	33	9107
7	33	10157
8	33	10261
9	33	10836
10	33	11933
11	33	12478
12	33	13174
13	33	13436
14	33	13593
15	33	14269
16	33	15739
17	33	16474
1	34	1657
2	34	4855
3	34	6641
4	34	6788
5	34	7264
6	34	8412
7	34	9856
8	34	9962
9	34	10889
10	34	12799
11	34	13286
12	34	13948
13	34	14763
14	34	15157
15	34	15797
16	34	16173
17	34	16474
1	35	1657
2	35	5034
3	35	5739
4	35	7873
5	35	10407
6	35	11025
7	35	11886
8	35	12587
9	35	13507
10	35	13991
11	35	14321
12	35	14719
13	35	15323
14	35	15710
15	35	16332
16	35	16403
17	35	16474
1	36	4712
2	36	8359
3	36	9051
4	36	10397
5	36	11293
6	36	11869
7	36	12368
8	36	13019
