N_Samples	Est_N_Loops	Frac_Saturation	Model
49	16448.6407521441	0.998447283061274	Tumour_Only
50	16451.7305701328	0.998634837791325	Tumour_Only
51	16454.4471649253	0.998799737537788	Tumour_Only
52	16456.8356186443	0.998944718826055	Tumour_Only
53	16458.9355678836	0.999072187633003	Tumour_Only
54	16460.7818614805	0.999184259314383	Tumour_Only
55	16462.405138835	0.99928279370933	Tumour_Only
56	16463.8323383736	0.999369426004556	Tumour_Only
57	16465.0871445947	0.999445593870406	Tumour_Only
58	16466.1903811148	0.999512561319129	Tumour_Only
59	16467.1603562384	0.999571439681261	Tumour_Only
60	16468.0131667856	0.999623206048257	Tumour_Only
61	16468.7629652202	0.999668719487405	Tumour_Only
62	16469.4221945115	0.999708735298118	Tumour_Only
63	16470.001794626	0.999743917546197	Tumour_Only
64	16470.511384077	0.999774850084058	Tumour_Only
65	16470.959419545	0.99980204623981	Tumour_Only
66	16471.3533362171	0.999825957335986	Tumour_Only
67	16471.699671174	0.999846980179269	Tumour_Only
68	16472.004171874	0.999865463645543	Tumour_Only
69	16472.2718915322	0.99988171446951	Tumour_Only
70	16472.5072729793	0.999896002334985	Tumour_Only
71	16472.7142223904	0.999908564350315	Tumour_Only
72	16472.8961741088	0.99991960898322	Tumour_Only
73	16473.0561476388	0.999929319520327	Tumour_Only
74	16473.1967977548	0.99993785710883	Tumour_Only
75	16473.3204585575	0.999945363430741	Tumour_Only
76	16473.4291822085	0.999951963054112	Tumour_Only
77	16473.5247729861	0.999957765500259	Tumour_Only
78	16473.6088172274	0.999962867061272	Tumour_Only
79	16473.6827096537	0.99996735239799	Tumour_Only
80	16473.7476765163	0.999971295944962	Tumour_Only
81	16473.8047959457	0.999974763145686	Tumour_Only
82	16473.8550158438	0.999977811538655	Tumour_Only
83	16473.8991696141	0.99998049171221	Tumour_Only
84	16473.9379899921	0.999982848144061	Tumour_Only
85	16473.9721212054	0.999984919939396	Tumour_Only
86	16474.0021296644	0.999986741479836	Tumour_Only
87	16474.028513362	0.999988342994	Tumour_Only
88	16474.0517101378	0.999989751059153	Tumour_Only
89	16474.0721049445	0.999990989042256	Tumour_Only
90	16474.0900362356	0.999992077487745	Tumour_Only
91	16474.1058015823	0.999993034458465	Tumour_Only
92	16474.1196626119	0.999993875835428	Tumour_Only
93	16474.1318493495	0.999994615581356	Tumour_Only
94	16474.1425640349	0.999995265972397	Tumour_Only
95	16474.1519844794	0.999995837801844	Tumour_Only
96	16474.1602670159	0.999996340559257	Tumour_Only
97	16474.1675490939	0.999996782587939	Tumour_Only
98	16474.17395156	0.999997171223391	Tumour_Only
99	16474.1795806639	0.999997512915055	Tumour_Only
100	16474.1845298208	0.99999781333333	Tumour_Only
101	16474.1888811625	0.999998077463686	Tumour_Only
102	16474.1927068999	0.999998309689387	Tumour_Only
103	16474.1960705215	0.999998513864239	Tumour_Only
104	16474.1990278467	0.99999869337654	Tumour_Only
105	16474.2016279528	0.999998851205314	Tumour_Only
106	16474.2039139885	0.999998989969741	Tumour_Only
107	16474.205923891	0.999999111972631	Tumour_Only
108	16474.2076910148	0.999999219238629	Tumour_Only
109	16474.2092446853	0.999999313547827	Tumour_Only
110	16474.2106106859	0.999999396465291	Tumour_Only
111	16474.2118116855	0.999999469367046	Tumour_Only
112	16474.2128676147	0.999999533462902	Tumour_Only
113	16474.2137959969	0.999999589816534	Tumour_Only
114	16474.2146122386	0.999999639363137	Tumour_Only
115	16474.2153298853	0.99999968292494	Tumour_Only
116	16474.2159608466	0.999999721224855	Tumour_Only
117	16474.2165155932	0.999999754898473	Tumour_Only
118	16474.2170033312	0.99999978450461	Tumour_Only
119	16474.2174321547	0.999999810534583	Tumour_Only
120	16474.2178091801	0.999999833420361	Tumour_Only
121	16474.218140664	0.999999853541736	Tumour_Only
122	16474.2184321076	0.999999871232623	Tumour_Only
123	16474.2186883473	0.999999886786604	Tumour_Only
124	16474.2189136355	0.9999999004618	Tumour_Only
125	16474.2191117109	0.999999912485151	Tumour_Only
126	16474.2192858604	0.999999923056185	Tumour_Only
127	16474.2194389742	0.99999993235033	Tumour_Only
128	16474.2195735932	0.999999940521823	Tumour_Only
129	16474.2196919513	0.99999994770627	Tumour_Only
130	16474.2197960129	0.999999954022899	Tumour_Only
131	16474.2198875047	0.999999959576534	Tumour_Only
132	16474.2199679451	0.999999964459338	Tumour_Only
133	16474.220038669	0.999999968752341	Tumour_Only
134	16474.22010085	0.999999972526787	Tumour_Only
135	16474.2201555201	0.999999975845313	Tumour_Only
136	16474.2202035866	0.999999978762989	Tumour_Only
137	16474.220245847	0.999999981328236	Tumour_Only
138	16474.2202830028	0.999999983583623	Tumour_Only
139	16474.2203156704	0.999999985566579	Tumour_Only
140	16474.2203443921	0.999999987310011	Tumour_Only
141	16474.2203696445	0.999999988842852	Tumour_Only
142	16474.2203918465	0.999999990190538	Tumour_Only
143	16474.2204113668	0.999999991375436	Tumour_Only
144	16474.2204285292	0.999999992417209	Tumour_Only
145	16474.2204436185	0.999999993333144	Tumour_Only
146	16474.2204568852	0.999999994138442	Tumour_Only
147	16474.2204685494	0.999999994846468	Tumour_Only
148	16474.2204788046	0.99999999546897	Tumour_Only
149	16474.2204878211	0.999999996016279	Tumour_Only
150	16474.2204957485	0.999999996497478	Tumour_Only
151	16474.2205027183	0.999999996920552	Tumour_Only
152	16474.2205088462	0.999999997292523	Tumour_Only
153	16474.2205142339	0.999999997619562	Tumour_Only
154	16474.2205189709	0.999999997907099	Tumour_Only
