File	Total_pairs	Valid_pairs	Cis_<10kbp	Cis_>10kbp	Trans	Invalid_pairs	Same_circularised	Same_dangling_ends	Same_internal	Re-ligation	Contiguous_sequence	Wrong_size
PCa40507_L002_R1_2.pair.bam	141833229	116891035	1906253	42975051	72009731	24942194	1284500	8142128	11875769	3639797	0	0
PCa56413_L004_R1_2.pair.bam	133343903	131567315	3068935	58176823	70321557	1776588	156523	417785	676359	525921	0	0
PCa57294_L002_R1_2.pair.bam	160301822	157983043	2561061	65133222	90288760	2318779	294774	486663	936489	600853	0	0
PCa14121_L001_R1_2.pair.bam	162866431	160472148	2208614	54212915	104050619	2394283	257967	451063	1017278	667975	0	0
PCa53687_L003_R1_2.pair.bam	131573082	108664467	2640410	44045498	61978559	22908615	840874	6608263	12133959	3325519	0	0
PCa33173_L004_R1_2.pair.bam	165424338	163269007	4239016	85427178	73602813	2155331	148160	567902	865506	573763	0	0
PCa13266_L003_R1_2.pair.bam	171622351	166550206	3136525	66265183	97148498	5072145	300791	1342916	2059100	1369338	0	0
PCa53687_L002_R1_2.pair.bam	135866005	112400376	2729854	45467323	64203199	23465629	860856	6775057	12409869	3419847	0	0
PCa51852_L001_R1_2.pair.bam	197003122	185240071	2405358	60403773	122430940	11763051	747576	3087392	5806624	2121459	0	0
PCa58215_L001_R1_2.pair.bam	130000822	127671141	3128199	56509003	68033939	2329681	162762	582568	999152	585199	0	0
PCa56413_L001_R1_2.pair.bam	136086287	134331815	3137151	59412869	71781795	1754472	159349	419421	663090	512612	0	0
