N_Samples	Iteration	N_Loops	Model
1	56	5722	NonT2E_Tumour_Only
2	56	6071	NonT2E_Tumour_Only
3	56	7111	NonT2E_Tumour_Only
4	56	7883	NonT2E_Tumour_Only
5	56	9146	NonT2E_Tumour_Only
6	56	9260	NonT2E_Tumour_Only
1	57	5003	NonT2E_Tumour_Only
2	57	6396	NonT2E_Tumour_Only
3	57	6569	NonT2E_Tumour_Only
4	57	7407	NonT2E_Tumour_Only
5	57	7659	NonT2E_Tumour_Only
6	57	9260	NonT2E_Tumour_Only
1	58	1651	NonT2E_Tumour_Only
2	58	4443	NonT2E_Tumour_Only
3	58	6690	NonT2E_Tumour_Only
4	58	6849	NonT2E_Tumour_Only
5	58	7659	NonT2E_Tumour_Only
6	58	9260	NonT2E_Tumour_Only
1	59	3569	NonT2E_Tumour_Only
2	59	6713	NonT2E_Tumour_Only
3	59	6990	NonT2E_Tumour_Only
4	59	8416	NonT2E_Tumour_Only
5	59	8540	NonT2E_Tumour_Only
6	59	9260	NonT2E_Tumour_Only
1	60	5722	NonT2E_Tumour_Only
2	60	7438	NonT2E_Tumour_Only
3	60	8178	NonT2E_Tumour_Only
4	60	8416	NonT2E_Tumour_Only
5	60	9146	NonT2E_Tumour_Only
6	60	9260	NonT2E_Tumour_Only
1	61	1651	NonT2E_Tumour_Only
2	61	4095	NonT2E_Tumour_Only
3	61	4403	NonT2E_Tumour_Only
4	61	6654	NonT2E_Tumour_Only
5	61	7659	NonT2E_Tumour_Only
6	61	9260	NonT2E_Tumour_Only
1	62	1421	NonT2E_Tumour_Only
2	62	2354	NonT2E_Tumour_Only
3	62	4403	NonT2E_Tumour_Only
4	62	5935	NonT2E_Tumour_Only
5	62	8029	NonT2E_Tumour_Only
6	62	9260	NonT2E_Tumour_Only
1	63	3569	NonT2E_Tumour_Only
2	63	6713	NonT2E_Tumour_Only
3	63	8178	NonT2E_Tumour_Only
4	63	8921	NonT2E_Tumour_Only
5	63	9041	NonT2E_Tumour_Only
6	63	9260	NonT2E_Tumour_Only
1	64	5003	NonT2E_Tumour_Only
2	64	5245	NonT2E_Tumour_Only
3	64	6569	NonT2E_Tumour_Only
4	64	6849	NonT2E_Tumour_Only
5	64	7659	NonT2E_Tumour_Only
6	64	9260	NonT2E_Tumour_Only
1	65	1651	NonT2E_Tumour_Only
2	65	4443	NonT2E_Tumour_Only
3	65	5728	NonT2E_Tumour_Only
4	65	7883	NonT2E_Tumour_Only
5	65	9146	NonT2E_Tumour_Only
6	65	9260	NonT2E_Tumour_Only
1	66	1421	NonT2E_Tumour_Only
2	66	4316	NonT2E_Tumour_Only
3	66	4743	NonT2E_Tumour_Only
4	66	6849	NonT2E_Tumour_Only
5	66	8640	NonT2E_Tumour_Only
6	66	9260	NonT2E_Tumour_Only
1	67	1651	NonT2E_Tumour_Only
2	67	6071	NonT2E_Tumour_Only
3	67	6990	NonT2E_Tumour_Only
4	67	7160	NonT2E_Tumour_Only
5	67	8540	NonT2E_Tumour_Only
6	67	9260	NonT2E_Tumour_Only
1	68	5722	NonT2E_Tumour_Only
2	68	5963	NonT2E_Tumour_Only
3	68	6286	NonT2E_Tumour_Only
4	68	7278	NonT2E_Tumour_Only
5	68	8640	NonT2E_Tumour_Only
6	68	9260	NonT2E_Tumour_Only
1	69	3569	NonT2E_Tumour_Only
2	69	4095	NonT2E_Tumour_Only
3	69	5728	NonT2E_Tumour_Only
4	69	5935	NonT2E_Tumour_Only
5	69	7659	NonT2E_Tumour_Only
6	69	9260	NonT2E_Tumour_Only
1	70	5003	NonT2E_Tumour_Only
2	70	7438	NonT2E_Tumour_Only
3	70	8178	NonT2E_Tumour_Only
4	70	8416	NonT2E_Tumour_Only
5	70	9146	NonT2E_Tumour_Only
6	70	9260	NonT2E_Tumour_Only
1	71	1421	NonT2E_Tumour_Only
2	71	5245	NonT2E_Tumour_Only
3	71	6569	NonT2E_Tumour_Only
4	71	6849	NonT2E_Tumour_Only
5	71	7659	NonT2E_Tumour_Only
6	71	9260	NonT2E_Tumour_Only
1	72	3569	NonT2E_Tumour_Only
2	72	5382	NonT2E_Tumour_Only
3	72	5606	NonT2E_Tumour_Only
4	72	7407	NonT2E_Tumour_Only
5	72	7659	NonT2E_Tumour_Only
6	72	9260	NonT2E_Tumour_Only
1	73	5722	NonT2E_Tumour_Only
2	73	5963	NonT2E_Tumour_Only
3	73	7593	NonT2E_Tumour_Only
4	73	8310	NonT2E_Tumour_Only
5	73	9041	NonT2E_Tumour_Only
6	73	9260	NonT2E_Tumour_Only
1	74	5722	NonT2E_Tumour_Only
2	74	7438	NonT2E_Tumour_Only
3	74	7593	NonT2E_Tumour_Only
4	74	7851	NonT2E_Tumour_Only
5	74	8640	NonT2E_Tumour_Only
6	74	9260	NonT2E_Tumour_Only
1	75	5003	NonT2E_Tumour_Only
2	75	7438	NonT2E_Tumour_Only
3	75	8178	NonT2E_Tumour_Only
4	75	8416	NonT2E_Tumour_Only
5	75	9146	NonT2E_Tumour_Only
6	75	9260	NonT2E_Tumour_Only
1	76	5003	NonT2E_Tumour_Only
2	76	5414	NonT2E_Tumour_Only
3	76	6496	NonT2E_Tumour_Only
4	76	8416	NonT2E_Tumour_Only
5	76	8540	NonT2E_Tumour_Only
6	76	9260	NonT2E_Tumour_Only
1	77	1421	NonT2E_Tumour_Only
2	77	3946	NonT2E_Tumour_Only
3	77	6895	NonT2E_Tumour_Only
4	77	8310	NonT2E_Tumour_Only
5	77	9041	NonT2E_Tumour_Only
6	77	9260	NonT2E_Tumour_Only
1	78	1651	NonT2E_Tumour_Only
2	78	4095	NonT2E_Tumour_Only
3	78	5728	NonT2E_Tumour_Only
4	78	7524	NonT2E_Tumour_Only
5	78	7659	NonT2E_Tumour_Only
6	78	9260	NonT2E_Tumour_Only
1	79	3569	NonT2E_Tumour_Only
2	79	6191	NonT2E_Tumour_Only
3	79	7262	NonT2E_Tumour_Only
4	79	7407	NonT2E_Tumour_Only
5	79	9041	NonT2E_Tumour_Only
6	79	9260	NonT2E_Tumour_Only
1	80	1651	NonT2E_Tumour_Only
2	80	2354	NonT2E_Tumour_Only
3	80	6286	NonT2E_Tumour_Only
4	80	7278	NonT2E_Tumour_Only
5	80	8029	NonT2E_Tumour_Only
6	80	9260	NonT2E_Tumour_Only
1	81	5003	NonT2E_Tumour_Only
2	81	5245	NonT2E_Tumour_Only
3	81	7593	NonT2E_Tumour_Only
4	81	8310	NonT2E_Tumour_Only
5	81	9041	NonT2E_Tumour_Only
6	81	9260	NonT2E_Tumour_Only
1	82	3953	NonT2E_Tumour_Only
2	82	4316	NonT2E_Tumour_Only
3	82	6569	NonT2E_Tumour_Only
4	82	8409	NonT2E_Tumour_Only
5	82	8640	NonT2E_Tumour_Only
6	82	9260	NonT2E_Tumour_Only
1	83	5722	NonT2E_Tumour_Only
2	83	5963	NonT2E_Tumour_Only
3	83	6895	NonT2E_Tumour_Only
4	83	7160	NonT2E_Tumour_Only
5	83	8029	NonT2E_Tumour_Only
6	83	9260	NonT2E_Tumour_Only
1	84	1421	NonT2E_Tumour_Only
2	84	2354	NonT2E_Tumour_Only
3	84	4403	NonT2E_Tumour_Only
4	84	5935	NonT2E_Tumour_Only
5	84	7659	NonT2E_Tumour_Only
6	84	9260	NonT2E_Tumour_Only
1	85	1421	NonT2E_Tumour_Only
2	85	4316	NonT2E_Tumour_Only
3	85	5606	NonT2E_Tumour_Only
4	85	7407	NonT2E_Tumour_Only
5	85	9041	NonT2E_Tumour_Only
6	85	9260	NonT2E_Tumour_Only
1	86	1421	NonT2E_Tumour_Only
2	86	4316	NonT2E_Tumour_Only
3	86	4743	NonT2E_Tumour_Only
4	86	7278	NonT2E_Tumour_Only
5	86	8029	NonT2E_Tumour_Only
6	86	9260	NonT2E_Tumour_Only
1	87	5722	NonT2E_Tumour_Only
2	87	6828	NonT2E_Tumour_Only
3	87	8277	NonT2E_Tumour_Only
4	87	8409	NonT2E_Tumour_Only
5	87	9041	NonT2E_Tumour_Only
6	87	9260	NonT2E_Tumour_Only
1	88	5003	NonT2E_Tumour_Only
2	88	5245	NonT2E_Tumour_Only
3	88	7593	NonT2E_Tumour_Only
4	88	7851	NonT2E_Tumour_Only
5	88	8640	NonT2E_Tumour_Only
6	88	9260	NonT2E_Tumour_Only
1	89	5722	NonT2E_Tumour_Only
2	89	6828	NonT2E_Tumour_Only
3	89	8277	NonT2E_Tumour_Only
4	89	8921	NonT2E_Tumour_Only
5	89	9146	NonT2E_Tumour_Only
6	89	9260	NonT2E_Tumour_Only
1	90	3953	NonT2E_Tumour_Only
2	90	6396	NonT2E_Tumour_Only
3	90	7262	NonT2E_Tumour_Only
4	90	7407	NonT2E_Tumour_Only
5	90	9041	NonT2E_Tumour_Only
6	90	9260	NonT2E_Tumour_Only
1	91	3569	NonT2E_Tumour_Only
2	91	4095	NonT2E_Tumour_Only
3	91	6990	NonT2E_Tumour_Only
4	91	7883	NonT2E_Tumour_Only
5	91	9146	NonT2E_Tumour_Only
6	91	9260	NonT2E_Tumour_Only
1	92	1421	NonT2E_Tumour_Only
2	92	5245	NonT2E_Tumour_Only
3	92	7593	NonT2E_Tumour_Only
4	92	7851	NonT2E_Tumour_Only
5	92	8540	NonT2E_Tumour_Only
6	92	9260	NonT2E_Tumour_Only
1	93	3953	NonT2E_Tumour_Only
2	93	4443	NonT2E_Tumour_Only
3	93	6690	NonT2E_Tumour_Only
4	93	7524	NonT2E_Tumour_Only
5	93	9146	NonT2E_Tumour_Only
6	93	9260	NonT2E_Tumour_Only
1	94	1421	NonT2E_Tumour_Only
2	94	5963	NonT2E_Tumour_Only
3	94	7008	NonT2E_Tumour_Only
4	94	7786	NonT2E_Tumour_Only
5	94	8029	NonT2E_Tumour_Only
6	94	9260	NonT2E_Tumour_Only
1	95	3953	NonT2E_Tumour_Only
2	95	4316	NonT2E_Tumour_Only
3	95	6569	NonT2E_Tumour_Only
4	95	8409	NonT2E_Tumour_Only
5	95	8640	NonT2E_Tumour_Only
6	95	9260	NonT2E_Tumour_Only
1	96	5003	NonT2E_Tumour_Only
2	96	5414	NonT2E_Tumour_Only
3	96	6690	NonT2E_Tumour_Only
4	96	7524	NonT2E_Tumour_Only
5	96	9146	NonT2E_Tumour_Only
6	96	9260	NonT2E_Tumour_Only
1	97	1651	NonT2E_Tumour_Only
2	97	4443	NonT2E_Tumour_Only
3	97	4743	NonT2E_Tumour_Only
4	97	6849	NonT2E_Tumour_Only
5	97	8640	NonT2E_Tumour_Only
6	97	9260	NonT2E_Tumour_Only
1	98	5003	NonT2E_Tumour_Only
2	98	6191	NonT2E_Tumour_Only
3	98	6365	NonT2E_Tumour_Only
4	98	8310	NonT2E_Tumour_Only
5	98	9041	NonT2E_Tumour_Only
6	98	9260	NonT2E_Tumour_Only
1	99	1651	NonT2E_Tumour_Only
2	99	2354	NonT2E_Tumour_Only
3	99	4403	NonT2E_Tumour_Only
4	99	5935	NonT2E_Tumour_Only
5	99	8029	NonT2E_Tumour_Only
6	99	9260	NonT2E_Tumour_Only
1	100	1651	NonT2E_Tumour_Only
2	100	5414	NonT2E_Tumour_Only
3	100	6690	NonT2E_Tumour_Only
4	100	8516	NonT2E_Tumour_Only
5	100	9146	NonT2E_Tumour_Only
6	100	9260	NonT2E_Tumour_Only
