w	s1	s2	BPscore
200000	Benign-Prostate-3320942	Benign-Prostate-1595983	0.2844722853873154
200000	Benign-Prostate-1595983	Benign-Prostate-3330581	0.4646710440463133
200000	Benign-Prostate-3330581	Benign-Prostate-1595983	0.4646710440463133
200000	Benign-Prostate-1664855	Benign-Prostate-3320942	0.26825249189707046
200000	Benign-Prostate-3320942	Benign-Prostate-1664855	0.26825249189707046
200000	Benign-Prostate-1664855	Benign-Prostate-3330581	0.4621894728951406
200000	Benign-Prostate-3330581	Benign-Prostate-1664855	0.4621894728951406
200000	Benign-Prostate-3320942	Benign-Prostate-3330581	0.45163533007577494
200000	Benign-Prostate-3330581	Benign-Prostate-3320942	0.45163533007577494
400000	PCa13266	PCa13848	0.5164092828537993
400000	PCa13848	PCa13266	0.5164092828537993
400000	PCa13266	PCa14121	0.5107891204656576
400000	PCa14121	PCa13266	0.5107891204656576
400000	PCa13266	PCa19121	0.2992229889232433
400000	PCa19121	PCa13266	0.2992229889232433
400000	PCa13266	PCa3023	0.290464115852278
400000	PCa3023	PCa13266	0.290464115852278
400000	PCa13266	PCa33173	0.26219176030502145
400000	PCa33173	PCa13266	0.26219176030502145
400000	PCa13266	PCa40507	0.5047135430694503
400000	PCa40507	PCa13266	0.5047135430694503
400000	PCa13266	PCa51852	0.5090941426264909
400000	PCa51852	PCa13266	0.5090941426264909
400000	PCa13266	PCa53687	0.5116326344504178
400000	PCa53687	PCa13266	0.5116326344504178
400000	PCa13266	PCa56413	0.5174118884570221
400000	PCa56413	PCa13266	0.5174118884570221
400000	PCa13266	PCa57294	0.2914612682505895
400000	PCa57294	PCa13266	0.2914612682505895
400000	PCa13266	PCa58215	0.5106761503703455
400000	PCa58215	PCa13266	0.5106761503703455
400000	PCa13266	Benign-Prostate-1648133	0.26451754457598
400000	Benign-Prostate-1648133	PCa13266	0.26451754457598
400000	PCa13266	Benign-Prostate-1595983	0.5155790691148782
400000	Benign-Prostate-1595983	PCa13266	0.5155790691148782
400000	PCa13266	Benign-Prostate-1664855	0.5022057043925894
400000	Benign-Prostate-1664855	PCa13266	0.5022057043925894
400000	PCa13266	Benign-Prostate-3320942	0.49641873340340986
400000	Benign-Prostate-3320942	PCa13266	0.49641873340340986
400000	PCa13266	Benign-Prostate-3330581	0.4984791354231176
400000	Benign-Prostate-3330581	PCa13266	0.4984791354231176
400000	PCa13848	PCa14121	0.2944493938978332
400000	PCa14121	PCa13848	0.2944493938978332
400000	PCa13848	PCa19121	0.5033188352248543
400000	PCa19121	PCa13848	0.5033188352248543
400000	PCa13848	PCa3023	0.5071524726493937
400000	PCa3023	PCa13848	0.5071524726493937
400000	PCa13848	PCa33173	0.5109636800919908
400000	PCa33173	PCa13848	0.5109636800919908
400000	PCa13848	PCa40507	0.27727050282471905
400000	PCa40507	PCa13848	0.27727050282471905
400000	PCa13848	PCa51852	0.28075048128522484
400000	PCa51852	PCa13848	0.28075048128522484
400000	PCa13848	PCa53687	0.28238699429103364
400000	PCa53687	PCa13848	0.28238699429103364
400000	PCa13848	PCa56413	0.2606940209870677
400000	PCa56413	PCa13848	0.2606940209870677
400000	PCa13848	PCa57294	0.5160799488421539
400000	PCa57294	PCa13848	0.5160799488421539
400000	PCa13848	PCa58215	0.24917221404851786
400000	PCa58215	PCa13848	0.24917221404851786
400000	PCa13848	Benign-Prostate-1648133	0.509386200050733
400000	Benign-Prostate-1648133	PCa13848	0.509386200050733
400000	PCa13848	Benign-Prostate-1595983	0.2630031924900116
400000	Benign-Prostate-1595983	PCa13848	0.2630031924900116
400000	PCa13848	Benign-Prostate-1664855	0.2935100083547153
400000	Benign-Prostate-1664855	PCa13848	0.2935100083547153
400000	PCa13848	Benign-Prostate-3320942	0.2742814000017457
400000	Benign-Prostate-3320942	PCa13848	0.2742814000017457
400000	PCa13848	Benign-Prostate-3330581	0.27624646155458177
400000	Benign-Prostate-3330581	PCa13848	0.27624646155458177
400000	PCa14121	PCa19121	0.5133309640332928
400000	PCa19121	PCa14121	0.5133309640332928
