SampleID	w	BPscore	window_step_abs_delta
PCa58215	6	0.15091816859811702	0.028984122957360386
Benign-Prostate-1595983	6	0.14064517404547053	0.02924468503557673
Benign-Prostate-1648133	6	0.15170587781801265	0.028935371095849233
Benign-Prostate-1664855	6	0.14329526217894864	0.02443710552192893
Benign-Prostate-3320942	6	0.1537176560049736	0.024736732843361448
Benign-Prostate-3330581	6	0.13864807200701454	0.03481414082077691
SRR7702334	6	0.11426214718922131	0.01380620855264178
SRR7702335	6	0.11411336480557023	0.019985891163866384
SRR8446383	6	0.11307528442491549	0.02029931835056295
SRR8446384	6	0.1082007663019532	0.013810569514816448
SRR8446385	6	0.11902063776538982	0.01767633276510905
SRR8446386	6	0.1160428157130378	0.023048920159035383
SRR8446387	6	0.11782550877274765	0.018910751336404644
4DNFI6HDY7WZ	6	0.13350610932595586	0.030480279258406462
4DNFITH978XV	6	0.12784304698799648	0.01848943098995312
4DNFIT64Q7A3	6	0.13705934863751248	0.02427057502122318
4DNFINSKEZND	6	0.13704178233213127	0.022572180694407473
4DNFIIV4M7TF	6	0.1621693821184747	0.020483139434919417
4DNFIXVAKX9Q	6	0.1439202150669011	0.028734313270394662
PCa13266	7	0.15259186988437323	0.017229689276864996
PCa13848	7	0.12655695896903793	0.01555698169661926
PCa14121	7	0.15677542929909113	0.02093968685075645
PCa19121	7	0.14062355546234584	0.013833319827893958
PCa3023	7	0.13187234758082497	0.01774826782143643
PCa33173	7	0.13275941247039802	0.01343303141965868
PCa40507	7	0.1491365445443527	0.026423841083543453
PCa51852	7	0.16405959804052997	0.01882894178908001
PCa53687	7	0.1473491923760462	0.01643557149378949
PCa56413	7	0.13444385318244456	0.018308875461132412
PCa57294	7	0.14195937421798707	0.022780368971803966
PCa58215	7	0.1316462402213571	0.019271928376759923
Benign-Prostate-1595983	7	0.1281543472369401	0.01249082680853042
Benign-Prostate-1648133	7	0.13691785372594836	0.014788024092064284
Benign-Prostate-1664855	7	0.11730009722839595	0.025995164950552693
Benign-Prostate-3320942	7	0.1406693405195198	0.01304831548545382
