gene_id	gene_name	detected_prom_enh_loop	n_enhancers
ENSG00000015475.18	BID	True	6
ENSG00000015479.19	MATR3	False	29
ENSG00000015520.14	NPC1L1	False	3
ENSG00000015520.14	NPC1L1	True	43
ENSG00000015676.18	NUDCD3	False	33
ENSG00000015676.18	NUDCD3	True	13
ENSG00000016082.15	ISL1	False	8
ENSG00000016082.15	ISL1	True	15
ENSG00000016490.16	CLCA1	False	5
ENSG00000016864.18	GLT8D1	False	22
ENSG00000017260.19	ATP2C1	False	32
ENSG00000017260.19	ATP2C1	True	10
ENSG00000017427.16	IGF1	False	3
ENSG00000017427.16	IGF1	True	15
ENSG00000017797.13	RALBP1	False	20
ENSG00000018236.15	CNTN1	False	6
ENSG00000018280.17	SLC11A1	False	14
ENSG00000018280.17	SLC11A1	True	11
ENSG00000018408.14	WWTR1	False	37
ENSG00000018408.14	WWTR1	True	18
ENSG00000018510.16	AGPS	False	40
ENSG00000018699.13	TTC27	False	15
ENSG00000019144.19	PHLDB1	False	15
ENSG00000019144.19	PHLDB1	True	11
ENSG00000019485.13	PRDM11	False	31
ENSG00000019485.13	PRDM11	True	27
ENSG00000019505.8	SYT13	False	28
ENSG00000019505.8	SYT13	True	30
ENSG00000019549.13	SNAI2	False	7
ENSG00000019549.13	SNAI2	True	34
ENSG00000019991.18	HGF	False	1
ENSG00000019995.6	ZRANB1	False	63
ENSG00000020129.16	NCDN	False	3
ENSG00000020129.16	NCDN	True	12
ENSG00000020181.18	ADGRA2	False	28
ENSG00000020181.18	ADGRA2	True	12
ENSG00000020219.9	CCT8L1P	False	47
ENSG00000020219.9	CCT8L1P	True	9
ENSG00000020256.20	ZFP64	False	5
ENSG00000020426.11	MNAT1	False	31
ENSG00000020426.11	MNAT1	True	10
ENSG00000020577.14	SAMD4A	False	1
ENSG00000020577.14	SAMD4A	True	12
ENSG00000020633.18	RUNX3	False	34
ENSG00000020922.12	MRE11	False	34
ENSG00000020922.12	MRE11	True	1
ENSG00000021300.14	PLEKHB1	False	3
ENSG00000021300.14	PLEKHB1	True	9
ENSG00000021461.16	CYP3A43	False	27
ENSG00000021461.16	CYP3A43	True	9
ENSG00000021645.19	NRXN3	True	1
ENSG00000021762.20	OSBPL5	False	40
ENSG00000021776.11	AQR	False	23
ENSG00000022567.9	SLC45A4	False	26
ENSG00000022840.16	RNF10	False	17
ENSG00000022976.15	ZNF839	False	14
ENSG00000022976.15	ZNF839	True	9
ENSG00000023041.11	ZDHHC6	False	25
ENSG00000023041.11	ZDHHC6	True	10
ENSG00000023171.18	GRAMD1B	False	14
ENSG00000023228.14	NDUFS1	False	37
ENSG00000023287.13	RB1CC1	False	21
ENSG00000023287.13	RB1CC1	True	7
ENSG00000023318.8	ERP44	False	14
ENSG00000023445.15	BIRC3	False	6
ENSG00000023445.15	BIRC3	True	19
ENSG00000023608.5	SNAPC1	False	20
ENSG00000023608.5	SNAPC1	True	21
ENSG00000023839.12	ABCC2	False	18
ENSG00000023892.11	DEF6	False	6
ENSG00000023892.11	DEF6	True	4
ENSG00000023902.14	PLEKHO1	False	34
ENSG00000023902.14	PLEKHO1	True	22
ENSG00000024048.10	UBR2	False	25
ENSG00000024048.10	UBR2	True	12
ENSG00000024422.12	EHD2	False	35
ENSG00000024422.12	EHD2	True	18
ENSG00000024862.17	CCDC28A	False	26
ENSG00000024862.17	CCDC28A	True	11
ENSG00000025039.15	RRAGD	False	10
ENSG00000025293.17	PHF20	False	10
ENSG00000025423.11	HSD17B6	False	28
ENSG00000025423.11	HSD17B6	True	19
ENSG00000025434.19	NR1H3	False	47
ENSG00000025434.19	NR1H3	True	13
ENSG00000025770.19	NCAPH2	False	23
ENSG00000025770.19	NCAPH2	True	11
ENSG00000025796.14	SEC63	False	49
ENSG00000026025.16	VIM	False	19
ENSG00000026025.16	VIM	True	21
ENSG00000026036.22	RTEL1-TNFRSF6B	False	75
ENSG00000026036.22	RTEL1-TNFRSF6B	True	10
ENSG00000026103.22	FAS	False	34
ENSG00000026297.15	RNASET2	False	4
ENSG00000026297.15	RNASET2	True	6
ENSG00000026559.14	KCNG1	False	40
ENSG00000026652.15	AGPAT4	False	18
ENSG00000026751.17	SLAMF7	False	28
ENSG00000026751.17	SLAMF7	True	8
ENSG00000027001.10	MIPEP	False	18
ENSG00000027001.10	MIPEP	True	43
ENSG00000027075.15	PRKCH	False	41
ENSG00000027847.14	B4GALT7	False	22
ENSG00000027847.14	B4GALT7	True	3
ENSG00000028116.17	VRK2	False	8
ENSG00000028137.19	TNFRSF1B	False	94
ENSG00000028528.15	SNX1	False	26
ENSG00000028528.15	SNX1	True	9
ENSG00000029153.14	ARNTL2	False	20
ENSG00000029363.17	BCLAF1	False	12
ENSG00000029363.17	BCLAF1	True	13
ENSG00000029364.12	SLC39A9	False	7
ENSG00000029534.20	ANK1	False	33
ENSG00000029639.11	TFB1M	False	30
ENSG00000029639.11	TFB1M	True	1
ENSG00000030066.13	NUP160	False	60
ENSG00000030110.13	BAK1	False	24
ENSG00000030110.13	BAK1	True	37
ENSG00000030304.14	MUSK	False	27
ENSG00000030304.14	MUSK	True	16
ENSG00000030419.16	IKZF2	False	1
ENSG00000030419.16	IKZF2	True	1
ENSG00000030582.18	GRN	False	45
ENSG00000030582.18	GRN	True	11
ENSG00000031003.10	FAM13B	False	7
ENSG00000032389.12	EIPR1	False	19
ENSG00000032444.16	PNPLA6	False	13
ENSG00000032742.17	IFT88	False	32
ENSG00000033170.17	FUT8	False	10
ENSG00000033170.17	FUT8	True	11
ENSG00000033327.13	GAB2	False	16
ENSG00000033327.13	GAB2	True	5
ENSG00000033627.16	ATP6V0A1	False	73
ENSG00000033800.13	PIAS1	False	50
ENSG00000033800.13	PIAS1	True	8
ENSG00000033867.16	SLC4A7	False	4
ENSG00000033867.16	SLC4A7	True	10
ENSG00000034152.19	MAP2K3	True	13
ENSG00000034239.11	EFCAB1	False	32
ENSG00000034239.11	EFCAB1	True	9
ENSG00000034510.6	TMSB10	False	2
ENSG00000034510.6	TMSB10	True	24
ENSG00000034533.11	ASTE1	False	40
ENSG00000034533.11	ASTE1	True	2
ENSG00000034677.13	RNF19A	False	41
ENSG00000034693.15	PEX3	False	5
ENSG00000035115.22	SH3YL1	False	7
ENSG00000035141.8	FAM136A	False	7
ENSG00000035141.8	FAM136A	True	13
ENSG00000035403.17	VCL	False	33
ENSG00000035499.13	DEPDC1B	False	37
ENSG00000035499.13	DEPDC1B	True	4
ENSG00000035664.11	DAPK2	False	12
ENSG00000035664.11	DAPK2	True	23
ENSG00000035687.10	ADSS2	False	25
ENSG00000035687.10	ADSS2	True	10
ENSG00000035862.12	TIMP2	False	46
ENSG00000036054.13	TBC1D23	False	1
ENSG00000036054.13	TBC1D23	True	16
ENSG00000036257.13	CUL3	False	47
ENSG00000036530.9	CYP46A1	False	39
ENSG00000036530.9	CYP46A1	True	3
ENSG00000036565.15	SLC18A1	False	11
ENSG00000036672.16	USP2	False	35
ENSG00000036828.16	CASR	False	21
ENSG00000037241.7	RPL26L1	False	50
ENSG00000037280.16	FLT4	False	26
ENSG00000037474.15	NSUN2	False	19
ENSG00000037474.15	NSUN2	True	2
ENSG00000037637.11	FBXO42	False	20
ENSG00000037637.11	FBXO42	True	25
ENSG00000037749.12	MFAP3	False	22
ENSG00000037965.6	HOXC8	False	24
ENSG00000037965.6	HOXC8	True	36
ENSG00000038210.14	PI4K2B	False	4
ENSG00000038210.14	PI4K2B	True	5
ENSG00000038219.13	BOD1L1	False	3
ENSG00000038219.13	BOD1L1	True	1
ENSG00000038295.8	TLL1	False	10
ENSG00000038382.20	TRIO	False	10
ENSG00000038382.20	TRIO	True	27
ENSG00000038427.16	VCAN	True	9
ENSG00000038532.16	CLEC16A	False	11
ENSG00000038532.16	CLEC16A	True	62
ENSG00000038945.15	MSR1	False	1
ENSG00000039068.19	CDH1	False	41
ENSG00000039123.16	MTREX	False	49
ENSG00000039319.17	ZFYVE16	False	40
ENSG00000039523.20	RIPOR1	False	19
ENSG00000039523.20	RIPOR1	True	23
ENSG00000040275.17	SPDL1	False	2
ENSG00000040275.17	SPDL1	True	5
ENSG00000040341.18	STAU2	False	9
ENSG00000040487.13	SLC66A1	False	69
ENSG00000040531.15	CTNS	False	36
ENSG00000040531.15	CTNS	True	5
ENSG00000040633.13	PHF23	False	38
ENSG00000040633.13	PHF23	True	7
ENSG00000040933.15	INPP4A	False	4
ENSG00000041515.16	MYO16	False	6
ENSG00000041802.11	LSG1	False	46
ENSG00000041802.11	LSG1	True	45
ENSG00000041880.14	PARP3	False	11
ENSG00000041880.14	PARP3	True	6
