Seq_Depth	Est_N_Loops	Frac_Saturation	Model
200000000	551.067229990313	0.155297377146823	PCa14121
250000000	771.303995132575	0.217362747970081	PCa14121
300000000	975.358643482895	0.274867803540123	PCa14121
350000000	1164.42017227205	0.328147617585389	PCa14121
400000000	1339.59021596899	0.377512643956687	PCa14121
450000000	1501.88946534728	0.423250525597352	PCa14121
500000000	1652.26361490407	0.465627770597503	PCa14121
550000000	1791.58887328665	0.504891305098546	PCa14121
600000000	1920.6770688348	0.541269912096454	PCa14121
650000000	2040.28037998832	0.574975564527544	PCa14121
700000000	2151.09571812317	0.606204660404435	PCa14121
750000000	2253.7687883543	0.635139167199163	PCa14121
800000000	2348.89785196695	0.66194768214159	PCa14121
850000000	2437.0372123995	0.686786414611337	PCa14121
900000000	2518.70044509033	0.709800096347482	PCa14121
950000000	2594.36339000832	0.731122824779684	PCa14121
1000000000	2664.46692430433	0.750878844394719	PCa14121
50000000	0	0	PCa19121
100000000	455.494938673356	0.052930966365299	PCa19121
150000000	1121.71961718881	0.130349864043813	PCa19121
200000000	1733.48323913383	0.201440093478627	PCa19121
250000000	2295.23776610398	0.266718996597096	PCa19121
300000000	2811.07123061785	0.326661624806757	PCa19121
350000000	3284.73748578364	0.38170419606689	PCa19121
400000000	3719.68352305602	0.432247269359069	PCa19121
450000000	4119.07455688157	0.478658659658144	PCa19121
500000000	4485.81705878037	0.521276114616632	PCa19121
550000000	4822.57990848856	0.560409772441465	PCa19121
600000000	5131.81381608424	0.596344418849676	PCa19121
650000000	5415.76915643651	0.629341559527482	PCa19121
700000000	5676.51234576361	0.659641323174583	PCa19121
750000000	5915.94087947642	0.687464208982615	PCa19121
800000000	6135.79714074178	0.713012691264616	PCa19121
850000000	6337.68108025405	0.736472692912803	PCa19121
900000000	6523.0618594887	0.758014938407388	PCa19121
950000000	6693.28854216922	0.777796196222638	PCa19121
1000000000	6849.59991175158	0.795960419671476	PCa19121
50000000	0	0	PCa3023
100000000	823.462754269196	0.164556030948672	PCa3023
150000000	1618.50240140763	0.323432152669614	PCa3023
200000000	2262.34960425185	0.452094851362617	PCa3023
250000000	2783.75658326522	0.556289804359035	PCa3023
300000000	3206.00775802048	0.640670035305613	PCa3023
350000000	3547.95955720732	0.709003703778429	PCa3023
400000000	3824.88248829186	0.764342379610083	PCa3023
450000000	4049.14307104887	0.809157316540025	PCa3023
500000000	4230.75608800471	0.845449810746869	PCa3023
550000000	4377.83181358391	0.874840572532674	PCa3023
600000000	4496.93819382705	0.898642102221615	PCa3023
650000000	4593.39415050351	0.917917302356345	PCa3023
700000000	4671.50710767152	0.933526943631062	PCa3023
750000000	4734.76534788575	0.946168104242738	PCa3023
800000000	4785.99378808413	0.956405299242795	PCa3023
850000000	4827.48013162249	0.96469569002957	PCa3023
900000000	4861.07703001561	0.971409499759389	PCa3023
950000000	4888.28481661154	0.976846546365217	PCa3023
1000000000	4910.31850682865	0.981249631496249	PCa3023
50000000	0	0	PCa33173
100000000	992.373703036918	0.170329274724521	PCa33173
150000000	1930.55775725682	0.331357533559229	PCa33173
200000000	2686.6525318202	0.46113230911028	PCa33173
250000000	3295.99917926177	0.565719494559591	PCa33173
300000000	3787.07959568537	0.650007672395089	PCa33173
350000000	4182.84771290948	0.717936615050036	PCa33173
400000000	4501.80240418352	0.772681436550681	PCa33173
450000000	4758.85215290825	0.816801002732671	PCa33173
500000000	4966.01190044329	0.852357536971513	PCa33173
550000000	5132.96464485052	0.881013012001864	PCa33173
600000000	5267.51404065141	0.904106833342812	PCa33173
650000000	5375.94915487887	0.922718445384235	PCa33173
700000000	5463.33842874021	0.93771778644895	PCa33173
750000000	5533.76658515819	0.94980595118583	PCa33173
800000000	5590.52555565043	0.959547960923159	PCa33173
850000000	5636.26835079361	0.96739917372411	PCa33173
900000000	5673.13306643882	0.973726568595173	PCa33173
950000000	5702.84282193907	0.978825898707523	PCa33173
1000000000	5726.78630167128	0.982935515402008	PCa33173
50000000	0	0	PCa40507
100000000	104.453993174169	0.0255185658191088	PCa40507
150000000	308.385296208786	0.0753398720317703	PCa40507
200000000	501.890414055612	0.122614015758138	PCa40507
250000000	685.502395520556	0.16747122314491	PCa40507
300000000	859.727036773557	0.210035062401031	PCa40507
350000000	1025.04427466597	0.250422784191202	PCa40507
400000000	1181.90950881323	0.288745644626439	PCa40507
450000000	1330.75485608483	0.325109211741436	PCa40507
500000000	1471.99034095716	0.359613656302966	PCa40507
550000000	1606.00502500857	0.392354027750427	PCa40507
600000000	1733.16807866772	0.42342051602866	PCa40507
650000000	1853.82979816794	0.45289870003431	PCa40507
700000000	1968.32257050866	0.480869783360128	PCa40507
750000000	2076.96178908238	0.507410817986611	PCa40507
800000000	2180.04672248923	0.532594916537203	PCa40507
850000000	2277.86133893259	0.556491453681729	PCa40507
900000000	2370.67508846666	0.579166257242895	PCa40507
950000000	2458.74364525095	0.600681789532277	PCa40507
1000000000	2542.30961185613	0.621097319415334	PCa40507
50000000	0	0	PCa51852
100000000	35.2907826298742	0.00437343213938721	PCa51852
150000000	273.250134207807	0.0338626924647647	PCa51852
200000000	504.161416266445	0.0624785164008277	PCa51852
250000000	728.233384139919	0.0902467740819151	PCa51852
300000000	945.668610080684	0.117192569400132	PCa51852
350000000	1156.66366639495	0.14334026270052	PCa51852
400000000	1361.40930315385	0.168713492804028	PCa51852
450000000	1560.09062064109	0.193335198378189	PCa51852
500000000	1752.88723669276	0.217227638674815	PCa51852
550000000	1939.97344908092	0.24041241365348	PCa51852
600000000	2121.51839308745	0.262910483508958	PCa51852
650000000	2297.68619441078	0.284742187620287	PCa51852
700000000	2468.63611754377	0.305927262938585	PCa51852
750000000	2634.5227097567	0.326484861830237	PCa51852
800000000	2795.49594081579	0.346433569391596	PCa51852
850000000	2951.70133856333	0.365791420250833	PCa51852
900000000	3103.28012048209	0.384575914872143	PCa51852
950000000	3250.36932136305	0.402804035377042	PCa51852
1000000000	3393.10191719162	0.420492260897052	PCa51852
50000000	0	0	PCa53687
100000000	109.039064948367	0.0228457913580186	PCa53687
150000000	320.423482687429	0.0671349120166525	PCa53687
200000000	522.226986892269	0.109416646132439	PCa53687
250000000	714.883828607177	0.149781977691342	PCa53687
300000000	898.808576622894	0.188317766866835	PCa53687
350000000	1074.39700956681	0.225106936930038	PCa53687
400000000	1242.02696755954	0.260228652688229	PCa53687
450000000	1402.05916527056	0.293758490835705	PCa53687
500000000	1554.83796812229	0.325768602583557	PCa53687
550000000	1700.6921333132	0.356327868918311	PCa53687
600000000	1839.93551725427	0.385502048823544	PCa53687
650000000	1972.86775094112	0.413353920783407	PCa53687
700000000	2099.77488471527	0.439943417872559	PCa53687
750000000	2220.93000380181	0.465327756723206	PCa53687
800000000	2336.59381594808	0.489561560646763	PCa53687
850000000	2447.01521242784	0.51269697717507	PCa53687
900000000	2552.43180361818	0.534783790274104	PCa53687
950000000	2653.07043030163	0.555869527471652	PCa53687
1000000000	2749.14765179367	0.575999562129458	PCa53687
50000000	0	0	PCa56413
100000000	658.483202885322	0.181198863134952	PCa56413
150000000	1304.1043604279	0.358858398336432	PCa56413
200000000	1809.64174231232	0.497970221490452	PCa56413
250000000	2205.49005288397	0.606898229881833	PCa56413
300000000	2515.44909962814	0.692191562562663	PCa56413
350000000	2758.15472219302	0.758978357871209	PCa56413
400000000	2948.19924531103	0.811274075336921	PCa56413
450000000	3097.00882123051	0.852222919380402	PCa56413
500000000	3213.53041060345	0.884286880059339	PCa56413
550000000	3304.76970556216	0.909393756661977	PCa56413
600000000	3376.21233683212	0.929053063852752	PCa56413
650000000	3432.1536893501	0.944446789059519	PCa56413
700000000	3475.95715607453	0.956500457759129	PCa56413
750000000	3510.25635712554	0.9659387793589	PCa56413
800000000	3537.11348238774	0.973329219302183	PCa56413
850000000	3558.1432776963	0.97911611710789	PCa56413
900000000	3574.61012909616	0.983647401641788	PCa56413
950000000	3587.50408222534	0.987195509836629	PCa56413
1000000000	3597.60036737788	0.989973766568937	PCa56413
50000000	0	0	PCa57294
100000000	287.871626412059	0.0510149068822575	PCa57294
150000000	798.217849176573	0.141455445800729	PCa57294
200000000	1259.92686177144	0.223276786020314	PCa57294
250000000	1677.63390613158	0.297300357699426	PCa57294
300000000	2055.53247459896	0.364269306746548	PCa57294
350000000	2397.41640971058	0.424855955495648	PCa57294
400000000	2706.71799177651	0.479668552361454	PCa57294
450000000	2986.54239662096	0.52925737823653	PCa57294
500000000	3239.69886941862	0.574120270934151	PCa57294
550000000	3468.72892759021	0.614707623138628	PCa57294
600000000	3675.93187589487	0.651426904039068	PCa57294
