SampleID	Seq_Depth	Replicate	N
Benign-Prostate-1648133	100000000	5	801
Benign-Prostate-1648133	100000000	6	806
Benign-Prostate-1648133	100000000	7	810
Benign-Prostate-1648133	100000000	8	807
Benign-Prostate-1648133	100000000	9	892
Benign-Prostate-1648133	150000000	1	1683
Benign-Prostate-1648133	150000000	10	1656
Benign-Prostate-1648133	150000000	2	1699
Benign-Prostate-1648133	150000000	3	1691
Benign-Prostate-1648133	150000000	4	1705
Benign-Prostate-1648133	150000000	5	1691
Benign-Prostate-1648133	150000000	6	1682
Benign-Prostate-1648133	150000000	7	1666
Benign-Prostate-1648133	150000000	8	1671
Benign-Prostate-1648133	150000000	9	1673
Benign-Prostate-1648133	200000000	1	2263
Benign-Prostate-1648133	200000000	10	2147
Benign-Prostate-1648133	200000000	2	2178
Benign-Prostate-1648133	200000000	3	2208
Benign-Prostate-1648133	200000000	4	2258
Benign-Prostate-1648133	200000000	5	2205
Benign-Prostate-1648133	200000000	6	2187
Benign-Prostate-1648133	200000000	7	2167
Benign-Prostate-1648133	200000000	8	2192
Benign-Prostate-1648133	200000000	9	2219
Benign-Prostate-1648133	250000000	1	2925
Benign-Prostate-1648133	250000000	10	2890
Benign-Prostate-1648133	250000000	2	2970
Benign-Prostate-1648133	250000000	3	2854
Benign-Prostate-1648133	250000000	4	2894
Benign-Prostate-1648133	250000000	5	2856
Benign-Prostate-1648133	250000000	6	2952
Benign-Prostate-1648133	250000000	7	2928
Benign-Prostate-1648133	250000000	8	2896
Benign-Prostate-1648133	250000000	9	2867
Benign-Prostate-1648133	300000000	1	3514
Benign-Prostate-1648133	300000000	10	3485
Benign-Prostate-1648133	300000000	2	3545
Benign-Prostate-1648133	300000000	3	3518
Benign-Prostate-1648133	300000000	4	3529
Benign-Prostate-1648133	300000000	5	3557
Benign-Prostate-1648133	300000000	6	3545
Benign-Prostate-1648133	300000000	7	3503
Benign-Prostate-1648133	300000000	8	3548
Benign-Prostate-1648133	300000000	9	3552
Benign-Prostate-1648133	50000000	1	3
Benign-Prostate-1648133	50000000	10	1
Benign-Prostate-1648133	50000000	2	5
Benign-Prostate-1648133	50000000	3	4
Benign-Prostate-1648133	50000000	4	3
Benign-Prostate-1648133	50000000	5	5
Benign-Prostate-1648133	50000000	6	5
Benign-Prostate-1648133	50000000	7	3
Benign-Prostate-1648133	50000000	8	4
Benign-Prostate-1648133	50000000	9	3
Benign-Prostate-1664855	100000000	1	473
Benign-Prostate-1664855	100000000	10	459
Benign-Prostate-1664855	100000000	2	492
Benign-Prostate-1664855	100000000	3	498
Benign-Prostate-1664855	100000000	4	489
Benign-Prostate-1664855	100000000	5	481
Benign-Prostate-1664855	100000000	6	474
Benign-Prostate-1664855	100000000	7	491
Benign-Prostate-1664855	100000000	8	538
Benign-Prostate-1664855	100000000	9	452
Benign-Prostate-1664855	150000000	1	1067
Benign-Prostate-1664855	150000000	10	1054
Benign-Prostate-1664855	150000000	2	1145
Benign-Prostate-1664855	150000000	3	1029
Benign-Prostate-1664855	150000000	4	1054
Benign-Prostate-1664855	150000000	5	1072
Benign-Prostate-1664855	150000000	6	1010
Benign-Prostate-1664855	150000000	7	958
Benign-Prostate-1664855	150000000	8	1090
Benign-Prostate-1664855	150000000	9	1089
Benign-Prostate-1664855	200000000	1	1971
Benign-Prostate-1664855	200000000	10	1981
Benign-Prostate-1664855	200000000	2	1984
Benign-Prostate-1664855	200000000	3	2001
Benign-Prostate-1664855	200000000	4	1997
Benign-Prostate-1664855	200000000	5	1986
Benign-Prostate-1664855	200000000	6	2029
Benign-Prostate-1664855	200000000	7	2030
Benign-Prostate-1664855	200000000	8	1981
Benign-Prostate-1664855	200000000	9	1974
Benign-Prostate-1664855	250000000	1	2741
Benign-Prostate-1664855	250000000	10	2804
Benign-Prostate-1664855	250000000	2	2695
Benign-Prostate-1664855	250000000	3	2791
Benign-Prostate-1664855	250000000	4	2685
Benign-Prostate-1664855	250000000	5	2712
Benign-Prostate-1664855	250000000	6	2735
Benign-Prostate-1664855	250000000	7	2809
Benign-Prostate-1664855	250000000	8	2841
Benign-Prostate-1664855	250000000	9	2797
Benign-Prostate-1664855	300000000	1	3429
Benign-Prostate-1664855	300000000	10	3416
Benign-Prostate-1664855	300000000	2	3440
Benign-Prostate-1664855	300000000	3	3411
Benign-Prostate-1664855	300000000	4	3483
Benign-Prostate-1664855	300000000	5	3408
Benign-Prostate-1664855	300000000	6	3388
Benign-Prostate-1664855	300000000	7	3504
Benign-Prostate-1664855	300000000	8	3473
Benign-Prostate-1664855	300000000	9	3458
Benign-Prostate-1664855	50000000	1	9
Benign-Prostate-1664855	50000000	10	3
Benign-Prostate-1664855	50000000	2	7
Benign-Prostate-1664855	50000000	3	5
Benign-Prostate-1664855	50000000	4	3
Benign-Prostate-1664855	50000000	5	4
Benign-Prostate-1664855	50000000	6	3
Benign-Prostate-1664855	50000000	7	4
Benign-Prostate-1664855	50000000	8	4
Benign-Prostate-1664855	50000000	9	4
Benign-Prostate-3320942	100000000	1	820
Benign-Prostate-3320942	100000000	10	795
Benign-Prostate-3320942	100000000	2	820
Benign-Prostate-3320942	100000000	3	771
Benign-Prostate-3320942	100000000	4	800
Benign-Prostate-3320942	100000000	5	814
Benign-Prostate-3320942	100000000	6	781
Benign-Prostate-3320942	100000000	7	803
Benign-Prostate-3320942	100000000	8	802
Benign-Prostate-3320942	100000000	9	798
Benign-Prostate-3320942	150000000	1	1671
Benign-Prostate-3320942	150000000	10	1751
Benign-Prostate-3320942	150000000	2	1679
Benign-Prostate-3320942	150000000	3	1694
Benign-Prostate-3320942	150000000	4	1745
Benign-Prostate-3320942	150000000	5	1711
Benign-Prostate-3320942	150000000	6	1699
Benign-Prostate-3320942	150000000	7	1697
Benign-Prostate-3320942	150000000	8	1688
Benign-Prostate-3320942	150000000	9	1750
Benign-Prostate-3320942	200000000	1	2208
Benign-Prostate-3320942	200000000	10	2181
Benign-Prostate-3320942	200000000	2	2141
Benign-Prostate-3320942	200000000	3	2253
Benign-Prostate-3320942	200000000	4	2289
Benign-Prostate-3320942	200000000	5	2186
Benign-Prostate-3320942	200000000	6	2254
Benign-Prostate-3320942	200000000	7	2238
Benign-Prostate-3320942	200000000	8	2117
Benign-Prostate-3320942	200000000	9	2249
Benign-Prostate-3320942	250000000	1	2876
Benign-Prostate-3320942	250000000	10	2937
Benign-Prostate-3320942	250000000	2	2948
Benign-Prostate-3320942	250000000	3	2927
Benign-Prostate-3320942	250000000	4	3042
Benign-Prostate-3320942	250000000	5	2943
Benign-Prostate-3320942	250000000	6	2930
Benign-Prostate-3320942	250000000	7	2907
Benign-Prostate-3320942	250000000	8	2990
Benign-Prostate-3320942	250000000	9	2961
Benign-Prostate-3320942	300000000	1	3648
Benign-Prostate-3320942	300000000	10	3610
Benign-Prostate-3320942	300000000	2	3628
Benign-Prostate-3320942	300000000	3	3583
Benign-Prostate-3320942	300000000	4	3683
Benign-Prostate-3320942	300000000	5	3685
