SampleID	Seq_Depth	Replicate	N
PCa53687	250000000	4	778
PCa53687	250000000	5	839
PCa53687	250000000	6	840
PCa53687	250000000	7	846
PCa53687	250000000	8	811
PCa53687	250000000	9	826
PCa53687	300000000	1	857
PCa53687	300000000	10	844
PCa53687	300000000	2	849
PCa53687	300000000	3	904
PCa53687	300000000	4	882
PCa53687	300000000	5	824
PCa53687	300000000	6	856
PCa53687	300000000	7	839
PCa53687	300000000	8	888
PCa53687	300000000	9	841
PCa53687	50000000	1	0
PCa53687	50000000	10	0
PCa53687	50000000	2	0
PCa53687	50000000	3	0
PCa53687	50000000	4	0
PCa53687	50000000	5	0
PCa53687	50000000	6	0
PCa53687	50000000	7	0
PCa53687	50000000	8	0
PCa53687	50000000	9	0
PCa56413	100000000	1	190
PCa56413	100000000	10	191
PCa56413	100000000	2	201
PCa56413	100000000	3	219
PCa56413	100000000	4	196
PCa56413	100000000	5	189
PCa56413	100000000	6	216
PCa56413	100000000	7	211
PCa56413	100000000	8	222
PCa56413	100000000	9	211
PCa56413	150000000	1	1417
PCa56413	150000000	10	1483
PCa56413	150000000	2	1453
PCa56413	150000000	3	1409
PCa56413	150000000	4	1432
PCa56413	150000000	5	1469
PCa56413	150000000	6	1438
PCa56413	150000000	7	1462
PCa56413	150000000	8	1410
PCa56413	150000000	9	1456
PCa56413	200000000	1	2160
PCa56413	200000000	10	2224
PCa56413	200000000	2	2184
PCa56413	200000000	3	2176
PCa56413	200000000	4	2180
PCa56413	200000000	5	2199
PCa56413	200000000	6	2183
PCa56413	200000000	7	2292
PCa56413	200000000	8	2120
PCa56413	200000000	9	2217
PCa56413	250000000	1	2203
PCa56413	250000000	10	2164
PCa56413	250000000	2	2166
PCa56413	250000000	3	2198
PCa56413	250000000	4	2217
PCa56413	250000000	5	2061
PCa56413	250000000	6	2172
PCa56413	250000000	7	2177
PCa56413	250000000	8	2064
PCa56413	250000000	9	2152
PCa56413	300000000	1	2237
PCa56413	300000000	10	2242
PCa56413	300000000	2	2343
PCa56413	300000000	3	2210
PCa56413	300000000	4	2274
PCa56413	300000000	5	2366
PCa56413	300000000	6	2315
PCa56413	300000000	7	2289
PCa56413	300000000	8	2288
PCa56413	300000000	9	2390
PCa56413	50000000	1	0
PCa56413	50000000	10	0
PCa56413	50000000	2	0
PCa56413	50000000	3	0
PCa56413	50000000	4	0
PCa56413	50000000	5	0
PCa56413	50000000	6	0
PCa56413	50000000	7	0
PCa56413	50000000	8	0
PCa56413	50000000	9	0
PCa57294	100000000	1	14
PCa57294	100000000	10	18
PCa57294	100000000	2	9
PCa57294	100000000	3	13
PCa57294	100000000	4	14
PCa57294	100000000	5	9
PCa57294	100000000	6	13
PCa57294	100000000	7	14
PCa57294	100000000	8	12
PCa57294	100000000	9	13
PCa57294	150000000	1	427
PCa57294	150000000	10	438
PCa57294	150000000	2	449
PCa57294	150000000	3	450
PCa57294	150000000	4	426
PCa57294	150000000	5	408
PCa57294	150000000	6	449
PCa57294	150000000	7	456
PCa57294	150000000	8	455
PCa57294	150000000	9	471
PCa57294	200000000	1	1433
PCa57294	200000000	10	1395
PCa57294	200000000	2	1428
PCa57294	200000000	3	1439
PCa57294	200000000	4	1488
PCa57294	200000000	5	1454
PCa57294	200000000	6	1438
PCa57294	200000000	7	1409
PCa57294	200000000	8	1435
PCa57294	200000000	9	1406
PCa57294	250000000	1	1912
PCa57294	250000000	10	1997
PCa57294	250000000	2	1910
PCa57294	250000000	3	1928
PCa57294	250000000	4	1939
PCa57294	250000000	5	1902
PCa57294	250000000	6	1933
PCa57294	250000000	7	1905
PCa57294	250000000	8	1907
PCa57294	250000000	9	1848
PCa57294	300000000	1	2036
PCa57294	300000000	10	1955
PCa57294	300000000	2	1957
PCa57294	300000000	3	2015
PCa57294	300000000	4	1989
PCa57294	300000000	5	2072
PCa57294	300000000	6	2002
PCa57294	300000000	7	2129
PCa57294	300000000	8	2004
PCa57294	300000000	9	2135
PCa57294	50000000	1	0
PCa57294	50000000	10	0
PCa57294	50000000	2	0
PCa57294	50000000	3	0
PCa57294	50000000	4	0
PCa57294	50000000	5	0
PCa57294	50000000	6	0
PCa57294	50000000	7	0
PCa57294	50000000	8	0
PCa57294	50000000	9	0
PCa58215	100000000	1	212
PCa58215	100000000	10	205
PCa58215	100000000	2	181
PCa58215	100000000	3	216
PCa58215	100000000	4	222
PCa58215	100000000	5	210
PCa58215	100000000	6	210
PCa58215	100000000	7	186
PCa58215	100000000	8	218
PCa58215	100000000	9	200
PCa58215	150000000	1	1606
PCa58215	150000000	10	1555
PCa58215	150000000	2	1542
PCa58215	150000000	3	1562
PCa58215	150000000	4	1539
PCa58215	150000000	5	1613
PCa58215	150000000	6	1547
PCa58215	150000000	7	1552
PCa58215	150000000	8	1608
PCa58215	150000000	9	1543
PCa58215	200000000	1	2589
PCa58215	200000000	10	2537
PCa58215	200000000	2	2541
PCa58215	200000000	3	2524
PCa58215	200000000	4	2617
PCa58215	200000000	5	2546
PCa58215	200000000	6	2561
PCa58215	200000000	7	2553
PCa58215	200000000	8	2582
PCa58215	200000000	9	2445
PCa58215	250000000	1	2767
PCa58215	250000000	10	2833
PCa58215	250000000	2	2775
PCa58215	250000000	3	2759
PCa58215	250000000	4	2771
PCa58215	250000000	5	2882
PCa58215	250000000	6	2807
PCa58215	250000000	7	2852
PCa58215	250000000	8	2836
PCa58215	250000000	9	2665
PCa58215	300000000	1	3201
PCa58215	300000000	10	3131
PCa58215	300000000	2	3258
PCa58215	300000000	3	3161
PCa58215	300000000	4	3205
PCa58215	300000000	5	3192
PCa58215	300000000	6	3184
PCa58215	300000000	7	3230
PCa58215	300000000	8	3214
PCa58215	300000000	9	3292
PCa58215	50000000	1	0
PCa58215	50000000	10	0
PCa58215	50000000	2	0
PCa58215	50000000	3	0
PCa58215	50000000	4	0
PCa58215	50000000	5	0
PCa58215	50000000	6	1
PCa58215	50000000	7	0
PCa58215	50000000	8	0
PCa58215	50000000	9	0
Benign-Prostate-1595983	394179151		4733
Benign-Prostate-1648133	394684060		4395
Benign-Prostate-1664855	310397759		3514
Benign-Prostate-3320942	385398277		4579
Benign-Prostate-3330581	332821707		5569
PCa13266	734465993		3953
PCa13848	448523558		6993
PCa14121	697046388		1651
PCa19121	546868767		4527
PCa3023	516231899		4687
PCa33173	686091855		5722
PCa40507	495673914		1286
PCa51852	773031656		2451
PCa53687	502063372		1421
PCa56413	554350553		3645
PCa57294	659670320		3569
PCa58215	550821375		5003
