Sample1	Sample2	Window	N_Int	Total	Frac
PCa13848	PCa40507	8	3711	4554	0.814888010540184
PCa13848	PCa40507	9	3405	4167	0.817134629229662
PCa13848	PCa40507	10	3135	3838	0.816831683168317
PCa13848	PCa40507	11	2925	3533	0.827908293235211
PCa13848	PCa40507	12	2698	3319	0.812895450436879
PCa13848	PCa40507	13	2577	3126	0.824376199616123
PCa13848	PCa40507	14	2429	2953	0.822553335590925
PCa13848	PCa40507	15	2307	2784	0.828663793103448
PCa13848	PCa40507	16	2193	2625	0.835428571428571
PCa13848	PCa40507	17	2081	2510	0.829083665338646
PCa13848	PCa40507	18	2009	2402	0.83638634471274
PCa13848	PCa40507	19	1940	2322	0.835486649440138
PCa13848	PCa40507	20	1849	2220	0.832882882882883
PCa13848	PCa40507	21	1775	2128	0.834116541353384
PCa13848	PCa40507	22	1715	2050	0.836585365853659
PCa13848	PCa40507	23	1644	1982	0.829465186680121
PCa13848	PCa40507	24	1587	1933	0.82100362131402
PCa13848	PCa40507	25	1562	1877	0.832179009057006
PCa13848	PCa40507	26	1503	1817	0.827187671986792
PCa13848	PCa40507	27	1483	1787	0.82988248461108
PCa13848	PCa40507	28	1422	1736	0.819124423963134
PCa13848	PCa40507	29	1376	1687	0.815649081209247
PCa13848	PCa40507	30	1360	1642	0.828258221680877
PCa13848	PCa51852	3	4791	7722	0.62043512043512
PCa13848	PCa51852	4	5011	6918	0.724342295461116
PCa13848	PCa51852	5	4763	6167	0.772336630452408
PCa13848	PCa51852	6	4409	5507	0.800617396041402
PCa13848	PCa51852	7	4076	4998	0.815526210484194
PCa13848	PCa51852	8	3752	4554	0.82389108476065
PCa13848	PCa51852	9	3465	4167	0.831533477321814
PCa13848	PCa51852	10	3212	3838	0.836894215737363
PCa13848	PCa51852	11	2951	3533	0.835267478063968
PCa13848	PCa51852	12	2778	3319	0.836999096113287
PCa13848	PCa51852	13	2608	3126	0.834293026231606
PCa13848	PCa51852	14	2462	2953	0.833728411784626
PCa13848	PCa51852	15	2330	2784	0.836925287356322
PCa13848	PCa51852	16	2233	2625	0.850666666666667
PCa13848	PCa51852	17	2091	2510	0.833067729083665
PCa13848	PCa51852	18	2021	2402	0.841382181515404
PCa13848	PCa51852	19	1959	2322	0.843669250645995
PCa13848	PCa51852	20	1853	2220	0.834684684684685
PCa13848	PCa51852	21	1760	2128	0.827067669172932
PCa13848	PCa51852	22	1718	2050	0.838048780487805
PCa13848	PCa51852	23	1659	1982	0.837033299697275
PCa13848	PCa51852	24	1614	1933	0.834971546818417
PCa13848	PCa51852	25	1543	1877	0.822056473095365
PCa13848	PCa51852	26	1510	1817	0.831040176114474
PCa13848	PCa51852	27	1471	1787	0.823167319529938
