Sample_ID	size	N
Benign-Prostate-1595983	2720000	1
Benign-Prostate-1595983	8320000	1
Benign-Prostate-1595983	4160000	1
Benign-Prostate-1595983	5920000	1
Benign-Prostate-1595983	2680000	3
Benign-Prostate-1595983	10640000	1
Benign-Prostate-1595983	3600000	2
Benign-Prostate-1595983	4600000	1
Benign-Prostate-1595983	5640000	1
Benign-Prostate-1595983	11880000	1
Benign-Prostate-1595983	15760000	1
Benign-Prostate-1595983	11600000	1
Benign-Prostate-1595983	7680000	1
Benign-Prostate-1595983	5560000	1
Benign-Prostate-1595983	15720000	1
Benign-Prostate-1595983	6040000	2
Benign-Prostate-1595983	6360000	1
Benign-Prostate-1595983	11080000	1
Benign-Prostate-1595983	10520000	1
Benign-Prostate-1595983	2240000	1
Benign-Prostate-1595983	5160000	1
Benign-Prostate-1595983	10280000	1
Benign-Prostate-1595983	9520000	1
Benign-Prostate-1595983	6200000	1
Benign-Prostate-1595983	30440000	1
Benign-Prostate-1648133	47240000	1
Benign-Prostate-1648133	80000	468
Benign-Prostate-1648133	40000	1053
Benign-Prostate-1648133	200000	144
Benign-Prostate-1648133	1760000	14
Benign-Prostate-1648133	120000	308
Benign-Prostate-1648133	5680000	3
Benign-Prostate-1648133	1000000	10
Benign-Prostate-1648133	360000	60
Benign-Prostate-1648133	4560000	3
Benign-Prostate-1648133	440000	35
Benign-Prostate-1648133	1640000	15
Benign-Prostate-1648133	160000	221
Benign-Prostate-1648133	800000	31
Benign-Prostate-1648133	520000	40
Benign-Prostate-1648133	720000	20
Benign-Prostate-1648133	16720000	1
Benign-Prostate-1648133	7800000	1
Benign-Prostate-1648133	1680000	9
Benign-Prostate-1648133	5280000	2
Benign-Prostate-1648133	8360000	1
Benign-Prostate-1648133	2040000	7
Benign-Prostate-1648133	3720000	4
Benign-Prostate-1648133	1400000	10
Benign-Prostate-1648133	240000	95
Benign-Prostate-1648133	2000000	6
Benign-Prostate-1648133	1600000	10
Benign-Prostate-1648133	24200000	1
Benign-Prostate-1648133	6320000	1
Benign-Prostate-1648133	1520000	11
Benign-Prostate-1648133	3400000	6
Benign-Prostate-1648133	3160000	6
Benign-Prostate-1648133	280000	93
Benign-Prostate-1648133	400000	66
Benign-Prostate-1648133	320000	71
Benign-Prostate-1648133	2880000	7
Benign-Prostate-1648133	1720000	5
Benign-Prostate-1648133	2120000	4
Benign-Prostate-1648133	8120000	1
Benign-Prostate-1648133	16120000	1
Benign-Prostate-1648133	6000000	4
Benign-Prostate-1648133	3080000	1
Benign-Prostate-1648133	9920000	1
Benign-Prostate-1648133	960000	12
Benign-Prostate-1648133	6760000	2
Benign-Prostate-1648133	1160000	16
Benign-Prostate-1648133	1120000	9
Benign-Prostate-1648133	8920000	1
Benign-Prostate-1648133	760000	16
Benign-Prostate-1648133	1440000	7
Benign-Prostate-1648133	4600000	4
Benign-Prostate-1648133	2200000	3
Benign-Prostate-1648133	480000	38
Benign-Prostate-1648133	680000	19
Benign-Prostate-1648133	600000	26
Benign-Prostate-1648133	2720000	3
Benign-Prostate-1648133	2280000	7
Benign-Prostate-1648133	6160000	2
Benign-Prostate-1648133	3120000	8
Benign-Prostate-1648133	2760000	4
Benign-Prostate-1648133	2840000	7
Benign-Prostate-1648133	5480000	1
Benign-Prostate-1648133	5200000	2
Benign-Prostate-1648133	1880000	8
Benign-Prostate-1648133	5080000	2
Benign-Prostate-1648133	2400000	6
Benign-Prostate-1648133	11240000	2
Benign-Prostate-1648133	10000000	1
Benign-Prostate-1648133	1920000	9
Benign-Prostate-1648133	1800000	11
Benign-Prostate-1648133	6440000	1
Benign-Prostate-1648133	7200000	2
Benign-Prostate-1648133	2240000	5
Benign-Prostate-1648133	5240000	1
Benign-Prostate-1648133	5360000	1
Benign-Prostate-1648133	2440000	1
Benign-Prostate-1648133	2480000	4
Benign-Prostate-1648133	5800000	1
Benign-Prostate-1648133	3320000	6
Benign-Prostate-1648133	560000	34
Benign-Prostate-1648133	3600000	4
Benign-Prostate-1648133	1240000	9
Benign-Prostate-1648133	2600000	4
Benign-Prostate-1648133	3560000	4
Benign-Prostate-1648133	3280000	2
Benign-Prostate-1648133	5920000	1
Benign-Prostate-1648133	2640000	4
Benign-Prostate-1648133	3440000	4
Benign-Prostate-1648133	640000	22
Benign-Prostate-1648133	1040000	14
Benign-Prostate-1648133	1840000	5
Benign-Prostate-1648133	4400000	4
Benign-Prostate-1648133	1080000	10
Benign-Prostate-1648133	4640000	3
Benign-Prostate-1648133	6920000	1
Benign-Prostate-1648133	8040000	1
Benign-Prostate-1648133	1200000	18
Benign-Prostate-1648133	840000	17
Benign-Prostate-1648133	18440000	1
Benign-Prostate-1648133	2680000	8
Benign-Prostate-1648133	26000000	1
Benign-Prostate-1648133	1360000	4
Benign-Prostate-1648133	880000	17
Benign-Prostate-1648133	4080000	4
Benign-Prostate-1648133	8880000	1
Benign-Prostate-1648133	6040000	1
Benign-Prostate-1648133	10960000	1
Benign-Prostate-1648133	1480000	7
Benign-Prostate-1648133	6520000	2
Benign-Prostate-1648133	4440000	3
Benign-Prostate-1648133	2360000	8
Benign-Prostate-1648133	4520000	1
Benign-Prostate-1648133	1320000	4
Benign-Prostate-1648133	4160000	4
Benign-Prostate-1648133	10320000	1
Benign-Prostate-1648133	7280000	1
Benign-Prostate-1648133	2920000	2
Benign-Prostate-1648133	4280000	2
Benign-Prostate-1648133	2960000	7
Benign-Prostate-1648133	2080000	6
Benign-Prostate-1648133	9080000	1
Benign-Prostate-1648133	2160000	4
Benign-Prostate-1648133	6080000	1
Benign-Prostate-1648133	2320000	2
Benign-Prostate-1648133	14120000	1
Benign-Prostate-1648133	920000	10
Benign-Prostate-1648133	7120000	1
Benign-Prostate-1648133	3480000	4
Benign-Prostate-1648133	10200000	2
Benign-Prostate-1648133	3800000	2
Benign-Prostate-1648133	5160000	1
Benign-Prostate-1648133	3000000	4
Benign-Prostate-1648133	1560000	5
Benign-Prostate-1648133	8760000	1
Benign-Prostate-1648133	3240000	4
Benign-Prostate-1648133	1960000	4
Benign-Prostate-1648133	3360000	1
Benign-Prostate-1648133	4720000	1
Benign-Prostate-1648133	18040000	1
Benign-Prostate-1648133	28480000	1
Benign-Prostate-1648133	16080000	1
Benign-Prostate-1648133	14440000	1
Benign-Prostate-1648133	5440000	1
Benign-Prostate-1648133	4880000	5
Benign-Prostate-1648133	3680000	3
Benign-Prostate-1648133	5320000	2
Benign-Prostate-1648133	7960000	1
Benign-Prostate-1648133	6960000	1
Benign-Prostate-1648133	5640000	1
Benign-Prostate-1648133	2560000	4
Benign-Prostate-1648133	2800000	4
Benign-Prostate-1648133	9600000	1
Benign-Prostate-1648133	5040000	2
Benign-Prostate-1648133	9240000	2
Benign-Prostate-1648133	11360000	1
Benign-Prostate-1648133	5520000	2
Benign-Prostate-1648133	4480000	2
Benign-Prostate-1648133	6280000	1
Benign-Prostate-1648133	1280000	8
Benign-Prostate-1648133	3200000	1
Benign-Prostate-1648133	7000000	1
Benign-Prostate-1648133	5600000	2
Benign-Prostate-1648133	5560000	1
Benign-Prostate-1648133	9280000	1
Benign-Prostate-1648133	18720000	1
Benign-Prostate-1648133	32320000	1
Benign-Prostate-1648133	7360000	2
Benign-Prostate-1648133	10920000	1
Benign-Prostate-1648133	15080000	1
Benign-Prostate-1648133	3920000	1
Benign-Prostate-1648133	3760000	3
Benign-Prostate-1648133	8160000	1
Benign-Prostate-1648133	13200000	1
Benign-Prostate-1648133	6200000	1
Benign-Prostate-1648133	7680000	1
Benign-Prostate-1648133	2520000	2
Benign-Prostate-1648133	14280000	1
Benign-Prostate-1648133	8440000	2
Benign-Prostate-1648133	13080000	1
Benign-Prostate-1648133	17080000	1
Benign-Prostate-1648133	4840000	1
Benign-Prostate-1648133	9960000	1
Benign-Prostate-1648133	14960000	1
Benign-Prostate-1648133	4960000	2
Benign-Prostate-1648133	8400000	2
Benign-Prostate-1648133	4760000	2
Benign-Prostate-1648133	3520000	3
Benign-Prostate-1648133	11160000	1
Benign-Prostate-1648133	18520000	1
Benign-Prostate-1648133	5880000	2
Benign-Prostate-1648133	6680000	1
Benign-Prostate-1648133	20520000	1
Benign-Prostate-1648133	5840000	3
Benign-Prostate-1648133	5120000	2
Benign-Prostate-1648133	18960000	1
Benign-Prostate-1648133	7320000	2
Benign-Prostate-1648133	6360000	1
Benign-Prostate-1648133	19240000	1
Benign-Prostate-1648133	4120000	2
Benign-Prostate-1648133	11520000	1
Benign-Prostate-1648133	14720000	2
Benign-Prostate-1648133	21520000	1
Benign-Prostate-1648133	4680000	2
Benign-Prostate-1648133	4200000	1
Benign-Prostate-1648133	12880000	1
Benign-Prostate-1648133	5760000	1
Benign-Prostate-1648133	6480000	2
Benign-Prostate-1648133	4360000	1
Benign-Prostate-1648133	5000000	1
Benign-Prostate-1648133	7520000	1
Benign-Prostate-1648133	7880000	1
Benign-Prostate-1648133	15240000	1
Benign-Prostate-1648133	3040000	2
Benign-Prostate-1648133	9720000	1
Benign-Prostate-1648133	6560000	1
Benign-Prostate-1648133	9800000	1
Benign-Prostate-1648133	7920000	1
Benign-Prostate-1648133	7400000	1
Benign-Prostate-1648133	30400000	1
Benign-Prostate-1664855	3480000	3
Benign-Prostate-1664855	40000	1146
Benign-Prostate-1664855	640000	29
Benign-Prostate-1664855	240000	107
Benign-Prostate-1664855	8040000	1
Benign-Prostate-1664855	20240000	1
Benign-Prostate-1664855	920000	10
Benign-Prostate-1664855	2480000	5
Benign-Prostate-1664855	9600000	3
Benign-Prostate-1664855	360000	64
Benign-Prostate-1664855	760000	23
Benign-Prostate-1664855	2720000	4
Benign-Prostate-1664855	280000	85
Benign-Prostate-1664855	200000	151
Benign-Prostate-1664855	5680000	2
Benign-Prostate-1664855	120000	340
Benign-Prostate-1664855	1000000	12
Benign-Prostate-1664855	80000	491
Benign-Prostate-1664855	4200000	2
Benign-Prostate-1664855	480000	55
Benign-Prostate-1664855	160000	201
Benign-Prostate-1664855	1560000	15
Benign-Prostate-1664855	1200000	11
Benign-Prostate-1664855	560000	53
Benign-Prostate-1664855	600000	31
Benign-Prostate-1664855	16320000	1
Benign-Prostate-1664855	320000	65
Benign-Prostate-1664855	2080000	12
Benign-Prostate-1664855	3600000	3
Benign-Prostate-1664855	880000	15
Benign-Prostate-1664855	1600000	12
Benign-Prostate-1664855	5320000	1
Benign-Prostate-1664855	8240000	1
Benign-Prostate-1664855	2000000	7
Benign-Prostate-1664855	400000	56
Benign-Prostate-1664855	2240000	6
Benign-Prostate-1664855	23800000	1
Benign-Prostate-1664855	1640000	9
Benign-Prostate-1664855	4640000	3
Benign-Prostate-1664855	1480000	10
Benign-Prostate-1664855	3560000	5
Benign-Prostate-1664855	3000000	5
Benign-Prostate-1664855	1760000	9
Benign-Prostate-1664855	2760000	5
Benign-Prostate-1664855	2600000	5
