Sample	Resolution	w	N	Mean_Size	SD_Size
PCa19121	40000	13	3038	832424.392034233	444162.417167276
PCa19121	40000	14	2849	880373.921726922	465307.69977116
PCa19121	40000	15	2697	923746.868001483	497263.628633608
PCa19121	40000	16	2583	958228.921022067	525047.534360327
PCa19121	40000	17	2448	1004373.08129085	545663.171532184
PCa19121	40000	18	2349	1040249.17113665	563833.136202693
PCa19121	40000	19	2253	1079389.83710608	591173.08570687
PCa19121	40000	20	2154	1121423.07474466	621910.240077171
PCa19121	40000	21	2061	1166319.89471131	650843.545933841
PCa19121	40000	22	2018	1189645.83894945	667550.606427628
PCa19121	40000	23	1940	1234466.65103093	692755.02439043
PCa19121	40000	24	1873	1273008.70421783	712753.176029572
PCa19121	40000	25	1818	1305140.43069307	741104.832355224
PCa19121	40000	26	1763	1345448.27169597	770301.387825586
PCa19121	40000	27	1705	1386689.32727273	800355.606845002
PCa19121	40000	28	1664	1419390.20612981	826992.534615821
PCa19121	40000	29	1635	1440847.28012232	843169.91848451
PCa19121	40000	30	1602	1466058.24157303	862745.349415164
PCa33173	40000	3	7224	376819.670957918	256542.022839296
PCa33173	40000	4	6565	413493.572429551	252087.974867492
PCa33173	40000	5	5874	458941.999148791	263409.121373519
PCa33173	40000	6	5281	507499.583980307	287676.419419763
PCa33173	40000	7	4744	561109.886804385	317333.476956406
PCa33173	40000	8	4288	614287.617304105	348324.112232119
PCa33173	40000	9	3930	663660.382442748	379078.200355287
PCa33173	40000	10	3630	710276.942975207	406626.315112915
PCa33173	40000	11	3371	759497.271729457	445992.544872539
PCa33173	40000	12	3161	802311.073394496	467214.441216466
PCa33173	40000	13	2955	849240.373265651	501165.616070452
PCa33173	40000	14	2788	890353.408536586	524787.737715752
PCa33173	40000	15	2620	938116.527862596	549776.014589158
PCa33173	40000	16	2488	981039.10892283	569659.544462264
PCa33173	40000	17	2377	1019514.22086664	591269.619509311
PCa33173	40000	18	2273	1060635.85701716	626181.418633104
PCa33173	40000	19	2190	1097545.80045662	641871.801130052
PCa33173	40000	20	2099	1133218.3434969	667186.374375136
PCa33173	40000	21	2023	1170353.5852694	689755.856364007
PCa33173	40000	22	1946	1209756.06526208	714017.162573014
PCa33173	40000	23	1880	1248800.69308511	733073.344325725
PCa33173	40000	24	1820	1283222.69395604	753534.592209001
PCa33173	40000	25	1752	1326361.47431507	769124.762344175
PCa33173	40000	26	1708	1358679.91978923	788282.001261774
PCa33173	40000	27	1666	1390363.32713085	820056.863085552
PCa33173	40000	28	1626	1419548.15682657	829961.482190669
PCa33173	40000	29	1580	1457180.57151899	844751.31290299
PCa33173	40000	30	1552	1482722.48904639	861692.662313867
PCa40507	40000	3	6839	397927.37286153	281655.889217204
PCa40507	40000	4	6418	422926.971486444	263846.236849556
PCa40507	40000	5	5832	463337.671982167	278551.868858545
PCa40507	40000	6	5245	511379.466730219	297221.165469335
PCa40507	40000	7	4788	556880.806808689	315440.072270857
PCa40507	40000	8	4338	609577.063854311	343914.850597109
PCa40507	40000	9	4003	656443.992755434	371687.474131672
PCa40507	40000	10	3704	701659.099082074	393203.334048632
PCa40507	40000	11	3428	751325.934364061	416597.671093734
PCa40507	40000	12	3204	799121.505305868	442852.640526449
PCa40507	40000	13	2989	846592.607226497	476999.564892875
PCa40507	40000	14	2822	890951.560240964	493577.570427622
PCa40507	40000	15	2642	940933.11998486	523448.461224167
PCa40507	40000	16	2540	974561.142913386	543315.361942573
PCa40507	40000	17	2415	1021128.48985507	564812.393247135
PCa40507	40000	18	2317	1054805.91411308	581524.691267384
PCa40507	40000	19	2206	1104000.59066183	614144.512233273
PCa40507	40000	20	2129	1139157.0234852	643955.475310693
PCa40507	40000	21	2035	1182911.6968059	660496.525209836
PCa40507	40000	22	1970	1215220.96598985	681662.910931499
PCa40507	40000	23	1906	1249016.42339979	704397.375658522
PCa40507	40000	24	1841	1292311.40847366	733828.155464557
PCa40507	40000	25	1786	1324538.24356103	750061.510168194
PCa40507	40000	26	1740	1358474.31206897	770358.073284546
PCa40507	40000	27	1682	1403962.72473246	799561.702490697
PCa40507	40000	28	1643	1436217.46987219	826134.608711536
PCa40507	40000	29	1608	1464543.0988806	857409.473573066
PCa40507	40000	30	1563	1499747.47472809	876103.266572217
PCa51852	40000	3	6782	401212.813771749	273904.797961721
PCa51852	40000	4	6368	426423.571451005	265725.242526383
PCa51852	40000	5	5764	467908.623004858	269230.610956694
PCa51852	40000	6	5240	512119.332633588	287679.623735792
PCa51852	40000	7	4745	562365.711907271	310932.76480885
PCa51852	40000	8	4278	618594.03997195	335515.195800664
PCa51852	40000	9	3978	659805.254650578	359398.163643087
PCa51852	40000	10	3668	708829.14476554	385088.542086986
PCa51852	40000	11	3410	756500.088856305	411942.659949471
PCa51852	40000	12	3187	803396.706306872	436877.090173801
PCa51852	40000	13	2993	847559.406281323	462843.356479462
PCa51852	40000	14	2834	888999.754057869	490999.472989304
PCa51852	40000	15	2682	933521.73862789	510475.91507635
PCa51852	40000	16	2555	972957.065753425	527999.762553146
PCa51852	40000	17	2439	1016344.93767938	556142.308267122
PCa51852	40000	18	2313	1062406.09727626	578914.902283879
PCa51852	40000	19	2204	1107506.94328494	605317.072788738
PCa51852	40000	20	2116	1149028.97117202	641898.843285205
PCa51852	40000	21	2036	1188244.25491159	661718.509105678
PCa51852	40000	22	1969	1222643.62772981	683397.519461433
PCa51852	40000	23	1910	1256055.13246073	700807.931206041
PCa51852	40000	24	1860	1287755.53924731	715595.937772323
PCa51852	40000	25	1773	1338897.52002256	745258.012396788
PCa51852	40000	26	1737	1366531.55037421	776158.671323247
PCa51852	40000	27	1684	1407710.98752969	791736.072416272
PCa51852	40000	28	1643	1439431.10346926	813725.51372952
PCa51852	40000	29	1604	1467123.00685786	841743.392971391
PCa51852	40000	30	1579	1494708.86827106	843290.168945625
